Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
337,"CA Gunter, EL Gunter, M Jackson, P Zave","A reference model for requirements and specifications",2000,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/896248/","https://scholar.google.com/scholar?cites=3654335598598481582&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-04-28 22:44:16","","","","",,,,,337,16.85,84,4,20,"The authors define a reference model for applying formal methods to the development of user requirements and their reduction to a behavioral system specification. The approach focuses on the shared phenomena that define the interface between the system and the …"
111,"Q Wang, W Shin, X Liu, Z Zeng, C Oh…","I-Living: An open system architecture for assisted living",2006,"… on Systems, Man …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4274570/","https://scholar.google.com/scholar?cites=8128049579211263522&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-04-28 22:44:16","","","","",,,,,111,7.93,19,6,14,"Advances in networking, sensors, and embedded devices have made it feasible to monitor and provide medical and other assistance to people in their homes. Aging populations will benefit from reduced costs and improved healthcare through assisted living based on these …"
93,"EL Gunter, A Muscholl, DA Peled","Compositional message sequence charts",2001,"… on Tools and Algorithms for the …","Springer","https://link.springer.com/chapter/10.1007/3-540-45319-9_34","https://scholar.google.com/scholar?cites=15160626861249941592&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-04-28 22:44:16","","","","",,,,,93,4.89,31,3,19,"Message sequence charts (MSCs) is a standard notation for describing the interaction between communicating objects. It is popular among the designers of communication protocols. MSCs enjoy both a visual and a textual representation. High level MSCs (HMSCs) …"
82,"E Bonelli, A Compagnoni, E Gunter","Correspondence assertions for process synchronization in concurrent communications",2005,"Journal of Functional …","cambridge.org","https://www.cambridge.org/core/journals/journal-of-functional-programming/article/correspondence-assertions-for-process-synchronization-in-concurrent-communications/BCA1F400E23BC6E584EC6844182B639F","https://scholar.google.com/scholar?cites=9365000514586537218&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-04-28 22:44:16","","","","",,,,,82,5.47,27,3,15,"High-level specification of patterns of communications such as protocols can be modeled elegantly by means of session types (Honda et al., 1998). However, a number of examples suggest that session types fall short when finer precision on protocol specification is …"
79,"TL Crenshaw, E Gunter, CL Robinson…","The simplex reference model: Limiting fault-propagation due to unreliable components in cyber-physical system architectures",2007,"… Real-Time Systems …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4408323/","https://scholar.google.com/scholar?cites=1335433108046042625&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-04-28 22:44:16","","","","",,,,,79,6.08,20,4,13,"Cyber-physical systems are networked, component-based, real-time systems that control and monitor the physical world. We need software architectures that limit fault-propagation across unreliable components. This paper introduces our simplex reference model which is …"
56,"EL Gunter, DA Peled","Interactive software testing system and method",2002,"US Patent 6,408,430","Google Patents","https://patents.google.com/patent/US6408430B2/en","https://scholar.google.com/scholar?cites=11739265973783161450&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-04-28 22:44:16","","","","",,,,,56,3.11,28,2,18,"A method for visualizing and testing a sequence of a software code that includes instructions relating to assignment of variables, and decision branches. The method comprises the steps of generating a plurality of nodes, edges and text indications that correspond to the …"
55,"R Alur, D Arney, EL Gunter, I Lee, J Lee, W Nam…","Formal specifications and analysis of the computer-assisted resuscitation algorithm (CARA) Infusion Pump Control System",2004,"International Journal on …","Springer","https://link.springer.com/article/10.1007/s10009-003-0132-7","https://scholar.google.com/scholar?cites=17279669381130139638&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-04-28 22:44:16","","","","",,,,,55,3.44,8,7,16,"Reliability of medical devices such as the CARA Infusion Pump Control System is of extreme importance given that these devices are being used on patients in critical condition. The Infusion Pump Control System includes embedded processors and accompanying …"
51,"M Vanlnwegen, E Gunter","Hol-ml",1993,"HOL Users' Group Workshop","Springer","https://link.springer.com/chapter/10.1007/3-540-57826-9_125","https://scholar.google.com/scholar?cites=4981096581584959641&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-04-28 22:44:16","","","","",,,,,51,1.89,26,2,27,"We describe here HOL-ML, an encoding of a subset of SML and its dynamic semantics (as described by The Definition of Standard ML) in HOL. This encoding, which is the first stage in a project that will include typechecking and SML Modules, allows the formal study of the …"
48,"E Gunter, D Peled","Model checking, testing and verification working together",2005,"Formal Aspects of Computing","Springer","https://link.springer.com/article/10.1007/s00165-005-0059-8","https://scholar.google.com/scholar?cites=11658027358308398343&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-04-28 22:44:16","","","","",,,,,48,3.20,24,2,15,"We present a symbolic model checking approach that allows verifying a unit of code, eg, a single procedure or a collection of procedures that interact with each other. We allow temporal specifications that assert over both the program counters and the program …"
40,"EL Gunter","Why we can't have SML style datatype declarations in HOL",1993,"Higher Order Logic Theorem Proving and its …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780444898807500425","https://scholar.google.com/scholar?cites=5793444812595041051&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-04-28 22:44:16","","","","",,,,,40,1.48,40,1,27,"The type descriptions that define_type is capable of handling are noticeably more limited than those allowed by SML. In particular, define_type requires of a type description it is given that the type being defined should not occur within any compound type. While this …"
