Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
3866,"T He, C Huang, BM Blum, JA Stankovic…","Range-free localization schemes for large scale sensor networks",2003,"Proceedings of the 9th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/938985.938995","https://scholar.google.com/scholar?cites=2898805627879297241&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 02:32:12","","","","",,,,,3866,227.41,773,5,17,"ABSTRACT Wireless Sensor Networks have been proposed for a multitude of location-dependent applications. For such systems, the cost and limitations of the hardware on sensing nodes prevent the use of range-based localization schemes that depend on …"
1730,"T He, JA Stankovic, C Lu…","SPEED: A stateless protocol for real-time communication in sensor networks",2003,"… on Distributed Computing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1203451/","https://scholar.google.com/scholar?cites=9339471282849249174&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 02:32:12","","","","",,,,,1730,101.76,433,4,17,"In this paper, we present a real-time communication protocol for sensor networks, called SPEED. The protocol provides three types of real-time communication services, namely, real-time unicast, real-time area-multicast and real-time area-anycast. SPEED is specifically …"
923,"T He, S Krishnamurthy, JA Stankovic…","Energy-efficient surveillance system using wireless sensor networks",2004,"Proceedings of the 2nd …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/990064.990096","https://scholar.google.com/scholar?cites=14040027559234912002&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 02:32:12","","","","",,,,,923,57.69,231,4,16,"The focus of surveillance missions is to acquire and verify information about enemy capabilities and positions of hostile targets. Such missions often involve a high element of risk for human personnel and require a high degree of stealthiness. Hence, the ability to …"
755,"TF Abdelzaher, KG Shin, N Bhatti","Performance guarantees for web server end-systems: A control-theoretical approach",2002,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/980028/","https://scholar.google.com/scholar?cites=16000911563998617100&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 02:32:12","","","","",,,,,755,41.94,252,3,18,"The Internet is undergoing substantial changes from a communication and browsing infrastructure to a medium for conducting business and marketing a myriad of services. The World Wide Web provides a uniform and widely-accepted application interface used by …"
744,"L Sha, T Abdelzaher, A Cervin, T Baker, A Burns…","Real time scheduling theory: A historical perspective",2004,"Real-time systems","Springer","https://link.springer.com/article/10.1023/B:TIME.0000045315.61234.1e","https://scholar.google.com/scholar?cites=2620479410249049943&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 02:32:12","","","","",,,,,744,46.50,124,6,16,"In this 25th year anniversary paper for the IEEE Real Time Systems Symposium, we review the key results in real-time scheduling theory and the historical events that led to the establishment of the current real-time computing infrastructure. We conclude this paper by …"
725,"C Lu, BM Blum, TF Abdelzaher…","RAP: A real-time communication architecture for large-scale wireless sensor networks",2002,"… . Eighth IEEE Real …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1137381/","https://scholar.google.com/scholar?cites=6739435851782462352&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 02:32:12","","","","",,,,,725,40.28,181,4,18,"Large-scale wireless sensor networks represent a new generation of real-time embedded systems with significantly different communication constraints from traditional networked systems. This paper presents RAP, a new real-time communication architecture for large …"
633,"T He, S Krishnamurthy, L Luo, T Yan, L Gu…","VigilNet: An integrated sensor network system for energy-efficient surveillance",2006,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1138127.1138128","https://scholar.google.com/scholar?cites=6692085116134864459&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 02:32:12","","","","",,,,,633,45.21,106,6,14,"This article describes one of the major efforts in the sensor network community to build an integrated sensor network system for surveillance missions. The focus of this effort is to acquire and verify information about enemy capabilities and positions of hostile targets …"
530,"W He, X Liu, H Nguyen, K Nahrstedt…","Pda: Privacy-preserving data aggregation in wireless sensor networks",2007,"IEEE INFOCOM 2007 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4215819/","https://scholar.google.com/scholar?cites=8969202236215991042&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 02:32:12","","","","",,,,,530,40.77,106,5,13,"Providing efficient data aggregation while preserving data privacy is a challenging problem in wireless sensor networks research. In this paper, we present two privacy-preserving data aggregation schemes for additive aggregation functions. The first scheme-cluster-based …"
496,"K Skadron, T Abdelzaher…","Control-theoretic techniques and thermal-RC modeling for accurate and localized dynamic thermal management",2002,"… Symposium on High …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/995695/","https://scholar.google.com/scholar?cites=8255533223268812586&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 02:32:12","","","","",,,,,496,27.56,165,3,18,"This paper proposes the use of formal feedback control theory as a way to implement adaptive techniques in the processor architecture. Dynamic thermal management (DTM) is used as a test vehicle, and variations of a PID controller (Proportional-Integral-Differential) …"
494,"HS Kim, TF Abdelzaher, WH Kwon","Minimum-energy asynchronous dissemination to mobile sinks in wireless sensor networks",2003,"Proceedings of the 1st international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/958491.958515","https://scholar.google.com/scholar?cites=18071132136003229238&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 02:32:12","","","","",,,,,494,29.06,165,3,17,"Data dissemination from sources to sinks is one of the main functions in sensor networks. In this paper, we propose SEAD, a Scalable Energy-efficient Asynchronous Dissemination protocol, to minimize energy consumption in both building the dissemination tree and …"
