Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
387,"M Rolland, PT Edlefsen, BB Larsen, S Tovanabutra…","Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2",2012,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/nature11519&casa_token=OdJle4Tc7PkAAAAA:swzBkQzhUkiMK5g4YRly0xgjGIbUni9gRY15ccaurMMNys3O1_XEmO4ds3wES46JYTV231SS6NoTSNS0zg","https://scholar.google.com/scholar?cites=17771800739723241824&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 20:29:50","HTML","","","",,,,,387,48.38,77,5,8,"The RV144 trial demonstrated 31% vaccine efficacy at preventing human immunodeficiency virus (HIV)-1 infection 1. Antibodies against the HIV-1 envelope variable loops 1 and 2 (Env V1 and V2) correlated inversely with infection risk 2. We proposed that vaccine-induced …"
240,"AJ Bates, JP Sadler, AJ Fairbrass, SJ Falk, JD Hale…","Changing bee and hoverfly pollinator assemblages along an urban-rural gradient",2011,"PloS one","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155562/","https://scholar.google.com/scholar?cites=4087388546003630892&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 20:29:50","HTML","","","",,,,,240,26.67,40,6,9,"Background The potential for reduced pollination ecosystem service due to global declines of bees and other pollinators is cause for considerable concern. Habitat degradation, destruction and fragmentation due to agricultural intensification have historically been the …"
147,"LN Hudson, T Newbold, S Contu, SLL Hill…","The PREDICTS database: a global database of how local terrestrial biodiversity responds to human impacts",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.1303","https://scholar.google.com/scholar?cites=2365747684437947492&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 20:29:50","","","","",,,,,147,24.50,29,5,6,"Biodiversity continues to decline in the face of increasing anthropogenic pressures such as habitat destruction, exploitation, pollution and introduction of alien species. Existing global databases of species' threat status or population time series are dominated by charismatic …"
128,"A Bates, DJ Tian, KRB Butler, T Moyer","Trustworthy whole-system provenance for the Linux kernel",2015,"24th {USENIX} Security …","usenix.org","https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/bates","https://scholar.google.com/scholar?cites=14633765960424456584&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 20:29:50","","","","",,,,,128,25.60,32,4,5,"In a provenance-aware system, mechanisms gather and report metadata that describes the history of each object being processed on the system, allowing users to understand how data objects came to exist in their present state. However, while past work has demonstrated …"
107,"A Bates, B Mood, J Pletcher, H Pruse…","Detecting co-residency with active traffic analysis techniques",2012,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2381913.2381915","https://scholar.google.com/scholar?cites=3515952069565577610&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 20:29:50","","","","",,,,,107,13.38,21,5,8,"Virtualization is the cornerstone of the developing third party compute industry, allowing cloud providers to instantiate multiple virtual machines (VMs) on a single set of physical resources. Customers utilize cloud resources alongside unknown and untrusted parties …"
100,"HP Jarvie, PJA Withers, R Hodgkinson, A Bates…","Influence of rural land use on streamwater nutrients and their ecological significance",2008,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169407006300","https://scholar.google.com/scholar?cites=15343001230653169306&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 20:29:50","","","","",,,,,100,8.33,20,5,12,"Concentrations and loads of N and P fractions were examined for lowland rivers, the Wye and Avon, draining a range of representative agricultural land-use types in two major UK river basins. Data collected over a 2-year period demonstrated important diffuse agricultural …"
87,"AJ Bates, JP Sadler, R Mackay","Vegetation development over four years on two green roofs in the UK",2013,"Urban forestry & urban greening","Elsevier","https://www.sciencedirect.com/science/article/pii/S1618866712001203","https://scholar.google.com/scholar?cites=16049750862258582820&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 20:29:50","","","","",,,,,87,12.43,29,3,7,"Carefully designed green roofs have the potential to be used as mitigation for habitats lost at ground level. The development of plant assemblages on two green roofs designed to emulate diverse brownfield habitats (brown roofs), by using recycled demolition aggregate …"
84,"LN Hudson, T Newbold, S Contu, SLL Hill…","The database of the Predicts (Projecting responses of ecological diversity in changing terrestrial systems) project",2017,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.2579","https://scholar.google.com/scholar?cites=17378116432998387250&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 20:29:50","","","","",,,,,84,28.00,17,5,3,"Abstract The PREDICTS project—Projecting Responses of Ecological Diversity In Changing Terrestrial Systems (www. predicts. org. uk)—has collated from published studies a large, reasonably representative database of comparable samples of biodiversity from multiple …"
82,"B Reaves, J Bowers, N Scaife, A Bates…","Mo (bile) money, mo (bile) problems: Analysis of branchless banking applications",2017,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3092368","https://scholar.google.com/scholar?cites=17129740711437530307&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 20:29:50","","","","",,,,,82,27.33,16,5,3,"Mobile money, also known as branchless banking, leverages ubiquitous cellular networks to bring much-needed financial services to the unbanked in the developing world. These services are often deployed as smartphone apps, and although marketed as secure, these …"
74,"AJ Bates, TN Stickney","Cyclonic separating apparatus for a cleaning appliance",2011,"US Patent 7,867,307","Google Patents","https://patents.google.com/patent/US7867307B2/en","https://scholar.google.com/scholar?cites=2129641805801984543&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 20:29:50","","","","",,,,,74,8.22,37,2,9,"A cyclonic separating apparatus for a cleaning appliance includes a plurality of cyclonic separators arranged in series for separating particles from a dirt-and dust-laden airflow, at least two or three collectors for collecting separated dirt and dust, and a closure member …"
