Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
745,"L Sha, T Abdelzaher, A Cervin, T Baker, A Burns…","Real time scheduling theory: A historical perspective",2004,"Real-time systems","Springer","https://link.springer.com/article/10.1023/B:TIME.0000045315.61234.1e","https://scholar.google.com/scholar?cites=2620479410249049943&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 20:32:12","","","","",,,,,745,46.56,124,6,16,"In this 25th year anniversary paper for the IEEE Real Time Systems Symposium, we review the key results in real-time scheduling theory and the historical events that led to the establishment of the current real-time computing infrastructure. We conclude this paper by …"
362,"M Caccamo, LY Zhang, L Sha…","An implicit prioritized access protocol for wireless sensor networks",2002,"23rd IEEE Real-Time …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1181560/","https://scholar.google.com/scholar?cites=14757620092817760239&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 20:32:12","","","","",,,,,362,20.11,91,4,18,"Recent advances in wireless technology have brought us closer to the vision of pervasive computing where sensors/actuators can be connected through a wireless network. Due to cost constraints and the dynamic nature of sensor networks, it is undesirable to assume the …"
344,"GC Buttazzo, G Lipari, M Caccamo…","Elastic scheduling for flexible workload management",2002,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/990127/","https://scholar.google.com/scholar?cites=14947190596896995868&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 20:32:12","","","","",,,,,344,19.11,86,4,18,"An increasing number of real-time applications related to multimedia and adaptive control systems require greater flexibility than classical real-time theory usually permits. We present a novel scheduling framework in which tasks are treated as springs with given elastic …"
234,"H Yun, G Yao, R Pellizzoni…","Memguard: Memory bandwidth reservation system for efficient performance isolation in multi-core platforms",2013,"2013 IEEE 19th Real …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6531079/","https://scholar.google.com/scholar?cites=11222715100054377612&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 20:32:12","","","","",,,,,234,33.43,59,4,7,"Memory bandwidth in modern multi-core platforms is highly variable for many reasons and is a big challenge in designing real-time systems as applications are increasingly becoming more memory intensive. In this work, we proposed, designed, and implemented an efficient …"
199,"R Pellizzoni, E Betti, S Bak, G Yao…","A predictable execution model for COTS-based embedded systems",2011,"2011 17th IEEE Real …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5767117/","https://scholar.google.com/scholar?cites=6746010760690319659&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 20:32:12","","","","",,,,,199,22.11,40,5,9,"Building safety-critical real-time systems out of inexpensive, non-real-time, COTS components is challenging. Although COTS components generally offer high performance, they can occasionally incur significant timing delays. To prevent this, we propose controlling …"
177,"R Pellizzoni, A Schranzhofer, JJ Chen…","Worst case delay analysis for memory interference in multicore systems",2010,"… , Automation & Test …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5456952/","https://scholar.google.com/scholar?cites=1567983553048510993&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 20:32:12","","","","",,,,,177,17.70,44,4,10,"Employing COTS components in real-time embedded systems leads to timing challenges. When multiple CPU cores and DMA peripherals run simultaneously, contention for access to main memory can greatly increase a task's WCET. In this paper, we introduce an analysis …"
174,"R Mancuso, R Dudko, E Betti, M Cesati…","Real-time cache management framework for multi-core architectures",2013,"2013 IEEE 19th Real …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6531078/","https://scholar.google.com/scholar?cites=3373690036889586948&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 20:32:12","","","","",,,,,174,24.86,35,5,7,"Multi-core architectures are shaking the fundamental assumption that in real-time systems the WCET, used to analyze the schedulability of the complete system, is calculated on individual tasks. This is not even true in an approximate sense in a modern multi-core chip …"
156,"M Caccamo, G Buttazzo, L Sha","Capacity sharing for overrun control",2000,"Proceedings 21st IEEE Real …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/896018/","https://scholar.google.com/scholar?cites=8595685180937180485&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 20:32:12","","","","",,,,,156,7.80,52,3,20,"Presents a general scheduling methodology for managing overruns in a real-time environment, where tasks may have different criticalities and flexible timing constraints. The proposed method achieves isolation among tasks through a resource reservation …"
144,"G Buttazzo, G Lipari, L Abeni, M Caccamo","Soft Real-Time Systems",2005,"","Springer","https://link.springer.com/content/pdf/10.1007/0-387-28147-9.pdf","https://scholar.google.com/scholar?cites=2358105147611671382&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 20:32:12","BOOK","","","",,,,,144,9.60,36,4,15,"Page 1. SERIES IN COMPUTER SCIENCE Giorgio Buttazzo, Giuseppe Lipari, Luca Abeni, and Marco Caccamo Soft Real-Time Systems Predictability vs. Efficiency Page 2. Soft Real-Time Systems Predictability vs. Efficiency Page 3. SERIES IN COMPUTER SCIENCE …"
138,"H Yun, G Yao, R Pellizzoni…","Memory access control in multiprocessor for real-time systems with mixed criticality",2012,"2012 24th Euromicro …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6257581/","https://scholar.google.com/scholar?cites=7628595742320779065&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 20:32:12","","","","",,,,,138,17.25,35,4,8,"Shared resource access interference, particularly memory and system bus, is a big challenge in designing predictable real-time systems because its worst case behavior can significantly differ. In this paper, we propose a software based memory throttling mechanism …"
124,"BD Bui, M Caccamo, L Sha…","Impact of cache partitioning on multi-tasking real time embedded systems",2008,"2008 14th IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4617278/","https://scholar.google.com/scholar?cites=8886718313305405941&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-04 20:32:12","","","","",,,,,124,10.33,31,4,12,"Cache partitioning techniques have been proposed in the past as a solution for the cache interference problem. Due to qualitative differences with general purpose platforms, real-time embedded systems need to minimize task real-time utilization (function of execution …"
112,"Q Wang, W Shin, X Liu, Z Zeng, C Oh…","I-Living: An open system architecture for assisted living",2006,"… on Systems, Man …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4274570/","https://scholar.google.com/scholar?cites=8128049579211263522&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 20:32:12","","","","",,,,,112,8.00,19,6,14,"Advances in networking, sensors, and embedded devices have made it feasible to monitor and provide medical and other assistance to people in their homes. Aging populations will benefit from reduced costs and improved healthcare through assisted living based on these …"
