Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
572,"KCC Chang, B He, C Li, M Patel, Z Zhang","Structured databases on the web: Observations and implications",2004,"ACM sigmod record","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1031570.1031584","https://scholar.google.com/scholar?cites=15796125766713598766&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 21:09:02","","","","",,,,,572,35.75,114,5,16,"The Web has been rapidly"" deepened"" by the prevalence of databases online. With the potentially unlimited information hidden behind their query interfaces, this"" deep Web"" of searchable databses is clearly an important frontier for data access. This paper surveys this …"
534,"MA Soliman, IF Ilyas, KCC Chang","Top-k query processing in uncertain databases",2007,"2007 IEEE 23rd …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4221738/","https://scholar.google.com/scholar?cites=1512577910878441036&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 21:09:02","","","","",,,,,534,41.08,178,3,13,"Top-k processing in uncertain databases is semantically and computationally different from traditional top-k processing. The interplay between score and uncertainty makes traditional techniques inapplicable. We introduce new probabilistic formulations for top-k queries. Our …"
488,"B He, M Patel, Z Zhang, KCC Chang","Accessing the deep web",2007,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/1230819.1241670","https://scholar.google.com/scholar?cites=18036313290981595634&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 21:09:02","PDF","","","",,,,,488,37.54,122,4,13,"Page 1. ACCESSIN DEEP WEB Attem that 94 May 2007/Vol. 50, No. 5 COMMUNICATIONS OF THE ACM Page 2. COMMUNICATIONS OF THE ACM May 2007/Vol. 50, No. 5 95 The Web has been rapidly “deepened” by massive databases online and current search engines do not reach …"
479,"R Li, KH Lei, R Khadiwala…","Tedas: A twitter-based event detection and analysis system",2012,"2012 IEEE 28th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6228186/","https://scholar.google.com/scholar?cites=10703302556534481628&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 21:09:02","","","","",,,,,479,59.88,120,4,8,"Witnessing the emergence of Twitter, we propose a Twitter-based Event Detection and Analysis System (TEDAS), which helps to (1) detect new events, to (2) analyze the spatial and temporal pattern of an event, and to (3) identify importance of events. In this …"
464,"H Cai, VW Zheng, KCC Chang","A comprehensive survey of graph embedding: Problems, techniques, and applications",2018,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8294302/","https://scholar.google.com/scholar?cites=554670894934977969&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 21:09:02","","","","",,,,,464,232.00,155,3,2,"Graph is an important data representation which appears in a wide diversity of real-world scenarios. Effective graph analytics provides users a deeper understanding of what is behind the data, and thus can benefit a lot of useful applications such as node classification …"
454,"B He, KCC Chang","Statistical schema matching across web query interfaces",2003,"Proceedings of the 2003 ACM SIGMOD international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/872757.872784","https://scholar.google.com/scholar?cites=13633114568021845018&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 21:09:02","","","","",,,,,454,26.71,227,2,17,"Schema matching is a critical problem for integrating heterogeneous information sources. Traditionally, the problem of matching multiple schemas has essentially relied on finding pairwise-attribute correspondence. This paper proposes a different approach, motivated by …"
357,"KCC Chang, S Hwang","Minimal probing: supporting expensive predicates for top-k queries",2002,"Proceedings of the 2002 ACM SIGMOD …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/564691.564731","https://scholar.google.com/scholar?cites=7010058570350444909&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 21:09:02","","","","",,,,,357,19.83,179,2,18,"This paper addresses the problem of evaluating ranked top-k queries with expensive predicates. As major DBMSs now all support expensive user-defined predicates for Boolean queries, we believe such support for ranked queries will be even more important: First …"
331,"R Li, S Wang, H Deng, R Wang…","Towards social user profiling: unified and discriminative influence model for inferring home locations",2012,"Proceedings of the 18th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2339530.2339692","https://scholar.google.com/scholar?cites=16475234568148477148&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 21:09:02","","","","",,,,,331,41.38,66,5,8,"Users' locations are important to many applications such as targeted advertisement and news recommendation. In this paper, we focus on the problem of profiling users' home locations in the context of social network (Twitter). The problem is nontrivial, because …"
328,"H Yu, J Han, KCC Chang","PEBL: positive example based learning for web page classification using SVM",2002,"Proceedings of the eighth ACM SIGKDD …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/775047.775083","https://scholar.google.com/scholar?cites=15530136048197045716&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 21:09:02","","","","",,,,,328,18.22,109,3,18,"Web page classification is one of the essential techniques for Web mining. Specifically, classifying Web pages of a user-interesting class is the first step of mining interesting information from the Web. However, constructing a classifier for an interesting class requires …"
328,"C Li, KCC Chang, IF Ilyas, S Song","RankSQL: query algebra and optimization for relational top-k queries",2005,"Proceedings of the 2005 ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1066157.1066173","https://scholar.google.com/scholar?cites=11052765013887945031&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 21:09:02","","","","",,,,,328,21.87,82,4,15,"This paper introduces RankSQL, a system that provides a systematic and principled framework to support efficient evaluations of ranking (top-k) queries in relational database systems (RDBMS), by extending relational algebra and query optimization. Previously, top-k …"
