Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
688,"M Charikar, C Chekuri, T Feder, R Motwani","Incremental clustering and dynamic information retrieval",2004,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/S0097539702418498","https://scholar.google.com/scholar?cites=14242855371955965568&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 21:13:14","","","","",,,,,688,43.00,172,4,16,"Motivated by applications such as document and image classification in information retrieval, we consider the problem of clustering dynamic point sets in a metric space. We propose a model called incremental clustering which is based on a careful analysis of the …"
563,"M Charikar, C Chekuri, T Cheung, Z Dai, A Goel…","Approximation algorithms for directed Steiner problems",1999,"Journal of Algorithms","Elsevier","https://www.sciencedirect.com/science/article/pii/S0196677499910428","https://scholar.google.com/scholar?cites=9833561047756098677&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 21:13:14","","","","",,,,,563,26.81,94,6,21,"We give the first nontrivial approximation algorithms for the Steiner tree problem and the generalized Steiner network problem on general directed graphs. These problems have several applications in network design and multicast routing. For both problems, the best …"
538,"C Chekuri, S Khanna","A polynomial time approximation scheme for the multiple knapsack problem",2005,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/S0097539700382820","https://scholar.google.com/scholar?cites=9848807606301375840&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 21:13:14","","","","",,,,,538,35.87,269,2,15,"The multiple knapsack problem (MKP) is a natural and well-known generalization of the single knapsack problem and is defined as follows. We are given a set of n items and m bins (knapsacks) such that each item i has a profit p(i) and a size s(i), and each bin j has a …"
508,"G Calinescu, C Chekuri, M Pal, J Vondrák","Maximizing a monotone submodular function subject to a matroid constraint",2011,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/080733991","https://scholar.google.com/scholar?cites=11730204699537779060&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 21:13:14","","","","",,,,,508,56.44,127,4,9,"Let f:2^X→\calR_+ be a monotone submodular set function, and let (X,\calI) be a matroid. We consider the problem \rmmax_S∈\calIf(S). It is known that the greedy algorithm yields a 1/2-approximation ML Fisher, GL Nemhauser, and LA Wolsey, Math. Programming Stud., no …"
303,"G Calinescu, C Chekuri, M Pál, J Vondrák","Maximizing a submodular set function subject to a matroid constraint",2007,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-72792-7_15","https://scholar.google.com/scholar?cites=17426012312015318502&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 21:13:14","","","","",,,,,303,23.31,76,4,13,"Abstract Let f:2^N→\calR^+ be a non-decreasing submodular set function, and let (N,\calI) be a matroid. We consider the problem S∈\calIf(S). It is known that the greedy algorithm yields a 1/2-approximation 9 for this problem. It is also known, via a reduction from the max-k …"
280,"D Aingworth, C Chekuri, P Indyk, R Motwani","Fast estimation of diameter and shortest paths (without matrix multiplication)",1999,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/S0097539796303421","https://scholar.google.com/scholar?cites=6613971300314744628&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 21:13:14","","","","",,,,,280,13.33,70,4,21,"In the recent past, there has been considerable progress in devising algorithms for the all-pairs shortest paths (APSP) problem running in time significantly smaller than the obvious time bound of O (n 3). Unfortunately, all the new algorithms are based on fast matrix …"
259,"C Chekuri, R Motwani, B Natarajan, C Stein","Approximation techniques for average completion time scheduling",2001,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/S0097539797327180","https://scholar.google.com/scholar?cites=5453216856861185146&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 21:13:14","","","","",,,,,259,13.63,65,4,19,"We consider the problem of nonpreemptive scheduling to minimize average (weighted) completion time, allowing for release dates, parallel machines, and precedence constraints. Recent work has led to constant-factor approximations for this problem based on solving a …"
227,"C Chekuri, M Pal","A recursive greedy algorithm for walks in directed graphs",2005,"… Annual IEEE Symposium on Foundations of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1530718/","https://scholar.google.com/scholar?cites=8600974202829266251&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 21:13:14","","","","",,,,,227,15.13,114,2,15,"Given an arc-weighted directed graph G=(V, A,/spl lscr/) and a pair of nodes s, t, we seek to find an st walk of length at most B that maximizes some given function f of the set of nodes visited by the walk. The simplest case is when we seek to maximize the number of nodes …"
223,"F Afrati, E Bampis, C Chekuri, D Karger…","Approximation schemes for minimizing average weighted completion time with release dates",1999,"… on Foundations of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/814574/","https://scholar.google.com/scholar?cites=16494273139620430999&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 21:13:14","","","","",,,,,223,10.62,45,5,21,"We consider the problem of scheduling n jobs with release dates on m machines so as to minimize their average weighted completion time. We present the first known polynomial time approximation schemes for several variants of this problem. Our results include PTASs …"
221,"C Chekuri, J Vondrák, R Zenklusen","Submodular function maximization via the multilinear relaxation and contention resolution schemes",2014,"SIAM Journal on Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/110839655","https://scholar.google.com/scholar?cites=7081861615269936325&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 21:13:14","","","","",,,,,221,36.83,74,3,6,"We consider the problem of maximizing a nonnegative submodular set function f:2^N→\mathbbR_+ over a ground set N subject to a variety of packing-type constraints including (multiple) matroid constraints, knapsack constraints, and their intersections. In this …"
