Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
145,"M Fallahi-Sichani, M El-Kebir, S Marino…","Multiscale computational modeling reveals a critical role for TNF-α receptor 1 dynamics in tuberculosis granuloma formation",2011,"The Journal of …","Am Assoc Immnol","https://www.jimmunol.org/content/186/6/3472.short","https://scholar.google.com/scholar?cites=15493215727652093541&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 02:39:48","","","","",,,,,145,16.11,36,4,9,"Multiple immune factors control host responses to Mycobacterium tuberculosis infection, including the formation of granulomas, which are aggregates of immune cells whose function may reflect success or failure of the host to contain infection. One such factor is TNF …"
116,"M El-Kebir, L Oesper, H Acheson-Field…","Reconstruction of clonal trees and tumor composition from multi-sample sequencing data",2015,"…","academic.oup.com","https://academic.oup.com/bioinformatics/article-abstract/31/12/i62/216528","https://scholar.google.com/scholar?cites=16831435053686955416&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 02:39:48","","","","",,,,,116,23.20,29,4,5,"Motivation: DNA sequencing of multiple samples from the same tumor provides data to analyze the process of clonal evolution in the population of cells that give rise to a tumor. Results: We formalize the problem of reconstructing the clonal evolution of a tumor using …"
112,"S Canzar, M El-Kebir, R Pool, K Elbassioni…","Charge group partitioning in biomolecular simulation",2013,"Journal of …","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/cmb.2012.0239?casa_token=w8tzKhszgSIAAAAA:6Rq0_XBtuopc14NdyxoeEozv2T6zhAvNZxOBh-lzo0JePGvoSc7QygWtkzr0d3bBcTzSERWifOxG-Xc","https://scholar.google.com/scholar?cites=3973797372451188840&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 02:39:48","","","","",,,,,112,16.00,22,5,7,"Molecular simulation techniques are increasingly being used to study biomolecular systems at an atomic level. Such simulations rely on empirical force fields to represent the intermolecular interactions. There are many different force fields available—each based on …"
79,"M El-Kebir, G Satas, L Oesper, BJ Raphael","Inferring the mutational history of a tumor using multi-state perfect phylogeny mixtures",2016,"Cell systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S2405471216302216","https://scholar.google.com/scholar?cites=471109748182326139&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 02:39:48","HTML","","","",,,,,79,19.75,20,4,4,"Phylogenetic techniques are increasingly applied to infer the somatic mutational history of a tumor from DNA sequencing data. However, standard phylogenetic tree reconstruction techniques do not account for the fact that bulk sequencing data measures mutations in a …"
72,"S Marino, M El-Kebir, D Kirschner","A hybrid multi-compartment model of granuloma formation and T cell priming in tuberculosis",2011,"Journal of theoretical biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022519311001688","https://scholar.google.com/scholar?cites=6459906859578630076&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 02:39:48","","","","",,,,,72,8.00,24,3,9,"Tuberculosis is a worldwide health problem with 2 billion people infected with Mycobacterium tuberculosis (Mtb, the bacteria causing TB). The hallmark of infection is the emergence of organized structures of immune cells forming primarily in the lung in response …"
60,"M El-Kebir, J Heringa, GW Klau","Lagrangian relaxation applied to sparse global network alignment",2011,"IAPR International Conference on Pattern …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-24855-9_20","https://scholar.google.com/scholar?cites=13968728554908270630&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 02:39:48","","","","",,,,,60,6.67,20,3,9,"Data on molecular interactions is increasing at a tremendous pace, while the development of solid methods for analyzing this network data is lagging behind. This holds in particular for the field of comparative network analysis, where one wants to identify commonalities …"
36,"M El-Kebir, G Satas, BJ Raphael","Inferring parsimonious migration histories for metastatic cancers",2018,"Nature genetics","nature.com","https://www.nature.com/articles/s41588-018-0106-z?_ga=2.55012590.41468108.1536192000-2041270975.1536192000","https://scholar.google.com/scholar?cites=4739972728339511782&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 02:39:48","","","","",,,,,36,18.00,12,3,2,"Metastasis is the migration of cancerous cells from a primary tumor to other anatomical sites. Although metastasis was long thought to result from monoclonal seeding, or single cellular migrations, recent phylogenetic analyses of metastatic cancers have reported complex …"
24,"K Dinkla, M El-Kebir, CI Bucur…","eXamine: Exploring annotated modules in networks",2014,"BMC …","bmcbioinformatics.biomedcentral …","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-201","https://scholar.google.com/scholar?cites=1124204655267772168&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 02:39:48","HTML","","","",,,,,24,4.00,6,4,6,"Biological networks have a growing importance for the interpretation of high-throughput “omics” data. Integrative network analysis makes use of statistical and combinatorial methods to extract smaller subnetwork modules, and performs enrichment analysis to …"
22,"M El-Kebir","SPhyR: tumor phylogeny estimation from single-cell sequencing data under loss and error",2018,"Bioinformatics","academic.oup.com","https://academic.oup.com/bioinformatics/article-abstract/34/17/i671/5093218","https://scholar.google.com/scholar?cites=4185180638305190784&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 02:39:48","","","","",,,,,22,11.00,22,1,2,"Motivation Cancer is characterized by intra-tumor heterogeneity, the presence of distinct cell populations with distinct complements of somatic mutations, which include single-nucleotide variants (SNVs) and copy-number aberrations (CNAs). Single-cell sequencing technology …"
19,"M El-Kebir, GW Klau","Solving the maximum-weight connected subgraph problem to optimality",2014,"arXiv preprint arXiv:1409.5308","arxiv.org","https://arxiv.org/abs/1409.5308","https://scholar.google.com/scholar?cites=732482181430407650&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 02:39:48","","","","",,,,,19,3.17,10,2,6,"Given an undirected node-weighted graph, the Maximum-Weight Connected Subgraph problem (MWCS) is to identify a subset of nodes of maximalsum of weights that induce a connected subgraph. MWCS is closely related to the well-studied Prize Collecting Steiner …"
17,"M El-Kebir, J Heringa, GW Klau","Natalie 2.0: Sparse global network alignment as a special case of quadratic assignment",2015,"Algorithms","mdpi.com","https://www.mdpi.com/1999-4893/8/4/1035","https://scholar.google.com/scholar?cites=15331026905166532337&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 02:39:48","","","","",,,,,17,3.40,6,3,5,"Data on molecular interactions is increasing at a tremendous pace, while the development of solid methods for analyzing this network data is still lagging behind. This holds in particular for the field of comparative network analysis, where one wants to identify …"
