Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1930,"AG Dimakis, PB Godfrey, Y Wu…","Network coding for distributed storage systems",2010,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5550492/","https://scholar.google.com/scholar?cites=14892104295150580801&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 02:51:35","","","","",,,,,1930,193.00,483,4,10,"Distributed storage systems provide reliable access to data through redundancy spread over individually unreliable nodes. Application scenarios include data centers, peer-to-peer storage systems, and storage in wireless networks. Storing data using an erasure code, in …"
874,"A Khurshid, X Zou, W Zhou, M Caesar…","Veriflow: Verifying network-wide invariants in real time",2013,"Presented as part of the …","usenix.org","https://www.usenix.org/conference/nsdi13/technical-sessions/presentation/khurshid","https://scholar.google.com/scholar?cites=14600582443650119884&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 02:51:35","","","","",,,,,874,124.86,175,5,7,"Networks are complex and prone to bugs. Existing tools that check network configuration files and the data-plane state operate offline at timescales of seconds to hours, and cannot detect or prevent bugs as they arise. Is it possible to check network-wide invariants in real time, as the …"
482,"A Singla, CY Hong, L Popa, PB Godfrey","Jellyfish: Networking data centers randomly",2012,"Presented as part of the 9th …","usenix.org","https://www.usenix.org/conference/nsdi12/technical-sessions/presentation/singla","https://scholar.google.com/scholar?cites=5966158751989786668&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 02:51:35","","","","",,,,,482,60.25,121,4,8,"Industry experience indicates that the ability to incrementally expand data centers is essential. However, existing high-bandwidth network designs have rigid structure that interferes with incremental expansion. We present Jellyfish, a high-capacity network …"
468,"H Mai, A Khurshid, R Agarwal, M Caesar…","Debugging the data plane with anteater",2011,"ACM SIGCOMM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2043164.2018470","https://scholar.google.com/scholar?cites=2601350595229348500&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 02:51:35","","","","",,,,,468,52.00,94,5,9,"Diagnosing problems in networks is a time-consuming and error-prone process. Existing tools to assist operators primarily focus on analyzing control plane configuration. Configuration analysis is limited in that it cannot find bugs in router software, and is harder to …"
455,"CY Hong, M Caesar, PB Godfrey","Finishing flows quickly with preemptive scheduling",2012,"ACM SIGCOMM Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2377677.2377710","https://scholar.google.com/scholar?cites=11801470602209358904&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 02:51:35","","","","",,,,,455,56.88,152,3,8,"Today's data centers face extreme challenges in providing low latency. However, fair sharing, a principle commonly adopted in current congestion control protocols, is far from optimal for satisfying latency requirements. We propose Preemptive Distributed Quick (PDQ) …"
320,"PB Godfrey, I Ganichev, S Shenker…","Pathlet routing",2009,"ACM SIGCOMM Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1594977.1592583","https://scholar.google.com/scholar?cites=12859099467598933106&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 02:51:35","","","","",,,,,320,29.09,80,4,11,"We present a new routing protocol, pathlet routing, in which networks advertise fragments of paths, called pathlets, that sources concatenate into end-to-end source routes. Intuitively, the pathlet is a highly flexible building block, capturing policy constraints as well as enabling an …"
264,"PB Godfrey, S Shenker, I Stoica","Minimizing churn in distributed systems",2006,"ACM SIGCOMM Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1151659.1159931","https://scholar.google.com/scholar?cites=2430160844219971240&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 02:51:35","","","","",,,,,264,18.86,88,3,14,"A pervasive requirement of distributed systems is to deal with churn-change in the set of participating nodes due to joins, graceful leaves, and failures. A high churn rate can increase costs or decrease service quality. This paper studies how to reduce churn by …"
196,"PB Godfrey, I Stoica","Heterogeneity and load balance in distributed hash tables",2005,"… IEEE 24th Annual Joint Conference of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1497926/","https://scholar.google.com/scholar?cites=1259181253670654788&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 02:51:35","","","","",,,,,196,13.07,98,2,15,"Existing solutions to balance load in DHTs incur a high overhead either in terms of routing state or in terms of load movement generated by nodes arriving or departing the system. In this paper, we propose a set of general techniques and use them to develop a protocol …"
148,"A Vulimiri, C Curino, PB Godfrey, T Jungblut…","Global analytics in the face of bandwidth and regulatory constraints",2015,"… on Networked Systems …","usenix.org","https://www.usenix.org/conference/nsdi15/technical-sessions/presentation/vulimiri","https://scholar.google.com/scholar?cites=4892516382712737617&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 02:51:35","","","","",,,,,148,29.60,30,5,5,"Global-scale organizations produce large volumes of data across geographically distributed data centers. Querying and analyzing such data as a whole introduces new research issues at the intersection of networks and databases. Today systems that compute SQL analytics …"
148,"M Dong, Q Li, D Zarchy, PB Godfrey…","{PCC}: Re-architecting congestion control for consistent high performance",2015,"… {USENIX} Symposium on …","usenix.org","https://www.usenix.org/conference/nsdi15/technical-sessions/presentation/dong","https://scholar.google.com/scholar?cites=5047751181113591315&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 02:51:35","","","","",,,,,148,29.60,30,5,5,"TCP and its variants have suffered from surprisingly poor performance for decades. We argue the TCP family has little hope of achieving consistent high performance due to a fundamental architectural deficiency: hardwiring packet-level events to control responses …"
