Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
680,"NM Amato, OB Bayazit, LK Dale…","OBPRM: An obstacle-based PRM for 3D workspaces",1998,"Proc. Int. Workshop …","books.google.com","https://books.google.com/books?hl=en&lr=&id=ucO2DwAAQBAJ&oi=fnd&pg=PT165&dq=%22nancy+m+amato%22&ots=t_iiW9aEUb&sig=RpQZu0N5NJwW1Q2hOeVvtKqyNqk","https://scholar.google.com/scholar?cites=12099991613659623013&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 20:20:17","","","","",,,,,680,30.91,170,4,22,"This work describes and evaluates various node generation and connection strategies for one such PRM, the obstacle-based probabilistic roadmap method (OBPRM,), in cluttered 3-dimensional Workspaces. Various node generation strategies are evaluated in terms of their …"
461,"NM Amato, Y Wu","A randomized roadmap method for path and manipulation planning",1996,"… of IEEE international conference on robotics …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/503582/","https://scholar.google.com/scholar?cites=16053652401592625231&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 20:20:17","","","","",,,,,461,19.21,231,2,24,"This paper presents a new randomized roadmap method for motion planning for many DOF robots that can be used to obtain high quality roadmaps even when C-space is crowded. The main novelty in the authors' approach is that roadmap candidate points are chosen on C …"
415,"SA Wilmarth, NM Amato…","MAPRM: A probabilistic roadmap planner with sampling on the medial axis of the free space",1999,"Proceedings 1999 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/772448/","https://scholar.google.com/scholar?cites=10117085886244357860&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 20:20:17","","","","",,,,,415,19.76,138,3,21,"Probabilistic roadmap planning methods have been shown to perform well in a number of practical situations, but their performance degrades when paths are required to pass through narrow passages in the free space. We propose a new method of sampling the …"
279,"NM Amato, OB Bayazit, LK Dale…","Choosing good distance metrics and local planners for probabilistic roadmap methods",1998,"… on Robotics and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/677043/","https://scholar.google.com/scholar?cites=15163312548808214831&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 20:20:17","","","","",,,,,279,12.68,70,4,22,"This paper presents a comparative evaluation of different distance metrics and local planners within the content of probabilistic roadmap methods for motion planning. Both C-space and workspace distance metrics and local planners are considered. The study …"
251,"NM Amato, G Song","Using motion planning to study protein folding pathways",2002,"Journal of Computational Biology","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/10665270252935395?casa_token=n_gl3PkSBRYAAAAA:HaAu0AQQ92GkAqRgArxT1IBl1A9hZWVCCdp-b689fepO3-PpvvvGZOPtT66eazdlXO1pgNmwA3HO3Zo","https://scholar.google.com/scholar?cites=11177349068533869626&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 20:20:17","","","","",,,,,251,13.94,126,2,18,"We present a framework for studying protein folding pathways and potential landscapes which is based on techniques recently developed in the robotics motion planning community. Our focus in this work is to study the protein folding mechanism assuming we …"
195,"JM Lien, NM Amato","Approximate convex decomposition of polygons",2004,"Proceedings of the twentieth annual symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/997817.997823","https://scholar.google.com/scholar?cites=7154888680510630489&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 20:20:17","","","","",,,,,195,12.19,98,2,16,"We propose a strategy to decompose a polygon, containing zero or more holes, into``approximately convex''pieces. For many applications, the approximately convex components of this decomposition provide similar benefits as convex components, while the …"
180,"S Rodriguez, X Tang, JM Lien…","An obstacle-based rapidly-exploring random tree",2006,"Proceedings 2006 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1641823/","https://scholar.google.com/scholar?cites=13036122561142068899&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 20:20:17","","","","",,,,,180,12.86,45,4,14,"Tree-based path planners have been shown to be well suited to solve various high dimensional motion planning problems. Here we present a variant of the Rapidly-Exploring Random Tree (RRT) path planning algorithm that is able to explore narrow passages or …"
173,"AA Agha-Mohammadi…","FIRM: Sampling-based feedback motion-planning under motion uncertainty and imperfect measurements",2014,"… Journal of Robotics …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0278364913501564?casa_token=P9zOsMHT13IAAAAA:AvwYWmVfvmqIK2FTXuVZE9TJRP5OiUqPSivT2n-7FBNQ7cj_shp5npzsTTsi_Bu709pXPzNWTRjQcw","https://scholar.google.com/scholar?cites=5719031793982988937&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 20:20:17","","","","",,,,,173,28.83,87,2,6,"In this paper we present feedback-based information roadmap (FIRM), a multi-query approach for planning under uncertainty which is a belief-space variant of probabilistic roadmap methods. The crucial feature of FIRM is that the costs associated with the edges …"
168,"NM Amato, KA Dill, G Song","Using motion planning to map protein folding landscapes and analyze folding kinetics of known native structures",2003,"Journal of computational biology","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/10665270360688002?casa_token=QdjKqaNlgNsAAAAA:f6bt38LutLx4nW7U3mpDnhHajNF94LNd8d0xM9Pu5umsdP28FDcDckp1nbkH0KYwiopHJRnYdZ7DgS8","https://scholar.google.com/scholar?cites=8762554290129271229&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 20:20:17","","","","",,,,,168,9.88,56,3,17,"We investigate a novel approach for studying the kinetics of protein folding. Our framework has evolved from robotics motion planning techniques called probabilistic roadmap methods (PRMs) that have been applied in many diverse fields with great success. In our previous …"
164,"R Pearce, M Gokhale, NM Amato","Multithreaded asynchronous graph traversal for in-memory and semi-external memory",2010,"SC'10: Proceedings of the …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5644845/","https://scholar.google.com/scholar?cites=4064077660589039860&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 20:20:17","","","","",,,,,164,16.40,55,3,10,"Processing large graphs is becoming increasingly important for many domains such as social networks, bioinformatics, etc. Unfortunately, many algorithms and implementations do not scale with increasing graph sizes. As a result, researchers have attempted to meet the …"
