Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
4667,"C Lattner, V Adve","LLVM: A compilation framework for lifelong program analysis & transformation",2004,"… on Code Generation and Optimization, 2004 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1281665/","https://scholar.google.com/scholar?cites=7792455789532680075&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 20:16:33","","","","",,,,,4667,291.69,2334,2,16,"We describe LLVM (low level virtual machine), a compiler framework designed to support transparent, lifelong program analysis and transformation for arbitrary programs, by providing high-level information to compiler transformations at compile-time, link-time, run …"
417,"RL Bocchino Jr, VS Adve, D Dig, SV Adve…","A type and effect system for deterministic parallel Java",2009,"Proceedings of the 24th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1640089.1640097","https://scholar.google.com/scholar?cites=15921632398125067058&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 20:16:33","","","","",,,,,417,37.91,83,5,11,"Today's shared-memory parallel programming models are complex and error-prone. While many parallel programs are intended to be deterministic, unanticipated thread interleavings can lead to subtle bugs and nondeterministic semantics. In this paper, we demonstrate that a …"
284,"ML Li, P Ramachandran, SK Sahoo, SV Adve…","Understanding the propagation of hard errors to software and implications for resilient system design",2008,"ACM Sigplan …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1353536.1346315","https://scholar.google.com/scholar?cites=14711662122589434157&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 20:16:33","","","","",,,,,284,23.67,57,5,12,"With continued CMOS scaling, future shipped hardware will be increasingly vulnerable to in-the-field faults. To be broadly deployable, the hardware reliability solution must incur low overheads, precluding use of expensive redundancy. We explore a cooperative hardware …"
260,"C Lattner, A Lenharth, V Adve","Making context-sensitive points-to analysis with heap cloning practical for the real world",2007,"ACM SIGPLAN Notices","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1273442.1250766","https://scholar.google.com/scholar?cites=9992845494430916262&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 20:16:33","","","","",,,,,260,20.00,87,3,13,"Context-sensitive pointer analysis algorithms with full"" heapcloning"" are powerful but are widely considered to be too expensive to include in production compilers. This paper shows, for the first time, that a context-sensitive, field-sensitive algorithm with fullheap cloning (by …"
231,"D Dhurjati, V Adve","Backwards-compatible array bounds checking for C with very low overhead",2006,"Proceedings of the 28th international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1134285.1134309","https://scholar.google.com/scholar?cites=6689510859136035679&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 20:16:33","","","","",,,,,231,16.50,116,2,14,"The problem of enforcing correct usage of array and pointer references in C and C++ programs remains unsolved. The approach proposed by Jones and Kelly (extended by Ruwase and Lam) is the only one we know of that does not require significant manual …"
218,"RL Bocchino Jr, VS Adve, SV Adve, M Snir","Parallel programming must be deterministic by default",2009,"Proceedings of the First …","usenix.org","https://www.usenix.org/legacy/events/hotpar09/tech/full_papers/bocchino/bocchino.pdf","https://scholar.google.com/scholar?cites=4028847659017502290&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 20:16:33","PDF","","","",,,,,218,19.82,55,4,11,"In today's widely used parallel programming models, subtle programming errors can lead to unintended nondeterministic behavior and hard to catch bugs. In contrast, we argue for a parallel programming model that is deterministic by default: deterministic behavior is …"
216,"VS Adve, MK Vernon","Performance analysis of mesh interconnection networks with deterministic routing",1994,"IEEE Transactions on Parallel and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/277793/","https://scholar.google.com/scholar?cites=454845083838614589&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 20:16:33","","","","",,,,,216,8.31,108,2,26,"This paper develops detailed analytical performance models for k-ary n-cube networks with single-hit or infinite buffers, wormhole routing, and the nonadaptive deadlock-free routing scheme proposed by Dally and Seitz (1987). In contrast to previous performance studies of …"
213,"C Lattner, V Adve","Automatic pool allocation: improving performance by controlling data structure layout in the heap",2005,"ACM Sigplan Notices","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1064978.1065027","https://scholar.google.com/scholar?cites=14178581939212029114&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 20:16:33","","","","",,,,,213,14.20,107,2,15,"This paper describes Automatic Pool Allocation, a transformation framework that segregates distinct instances of heap-based data structures into seperate memory pools and allows heuristics to be used to partially control the internal layout of those data structures. The …"
195,"RL Bocchino, VS Adve, BL Chamberlain","Software transactional memory for large scale clusters",2008,"Proceedings of the 13th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1345206.1345242","https://scholar.google.com/scholar?cites=7278535489602732100&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 20:16:33","","","","",,,,,195,16.25,65,3,12,"While there has been extensive work on the design of software transactional memory (STM) for cache coherent shared memory systems, there has been no work on the design of an STM system for very large scale platforms containing potentially thousands of nodes. In this …"
180,"B Choi, R Komuravelli, H Sung…","DeNovo: Rethinking the memory hierarchy for disciplined parallelism",2011,"2011 International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6113797/","https://scholar.google.com/scholar?cites=14926193864334614106&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 20:16:33","","","","",,,,,180,20.00,45,4,9,"For parallelism to become tractable for mass programmers, shared-memory languages and environments must evolve to enforce disciplined practices that ban"" wild shared-memory behaviors;''eg, unstructured parallelism, arbitrary data races, and ubiquitous non …"
