Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
649,"MM Fleck, DA Forsyth, C Bregler","Finding naked people",1996,"European conference on computer …","Springer","https://link.springer.com/chapter/10.1007/3-540-61123-1_173","https://scholar.google.com/scholar?cites=4049748809447177581&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 02:54:44","","","","",,,,,649,27.04,216,3,24,"This paper demonstrates a content-based retrieval strategy that can tell whether there are naked people present in an image. No manual intervention is required. The approach combines color and texture properties to obtain an effective mask for skin regions. The skin …"
281,"MP Marcus, D Hindle, MM Fleck","D-theory: Talking about talking about trees",1983,"… of the 21st annual meeting on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=981337","https://scholar.google.com/scholar?cites=13605644053494081972&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 02:54:44","","","","",,,,,281,7.59,94,3,37,"Linguists, including computational linguists, have always been fond of talking about trees. In this paper, we outline a theory of linguistic structure which talks about talking about trees; we call this theory Description theory (D-theory). While important issues must be resolved …"
253,"DA Forsyth, J Malik, MM Fleck, H Greenspan…","Finding pictures of objects in large collections of images",1996,"… workshop on object …","Springer","https://link.springer.com/chapter/10.1007/3-540-61750-7_36","https://scholar.google.com/scholar?cites=16206786124256824046&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 02:54:44","","","","",,,,,253,10.54,51,5,24,"Retrieving images from very large collections, using image content as a key, is becoming an important problem. Users prefer to ask for pictures using notions of content that are strongly oriented to the presence of abstractly defined objects. Computer programs that implement …"
252,"DA Forsyth, MM Fleck","Body plans",1997,"Proceedings of IEEE computer society …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/609399/","https://scholar.google.com/scholar?cites=5939751694996119810&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 02:54:44","","","","",,,,,252,10.96,126,2,23,"This paper describes a representation for people and animals, called a body plan, which is adapted to segmentation and to recognition in complex environments. The representation is an organized collection of grouping hints obtained from a combination of constraints on …"
237,"DA Forsyth, MM Fleck","Automatic detection of human nudes",1999,"International Journal of Computer Vision","Springer","https://link.springer.com/article/10.1023/A:1008145029462","https://scholar.google.com/scholar?cites=10956221169431014074&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 02:54:44","","","","",,,,,237,11.29,119,2,21,"This paper demonstrates an automatic system for telling whether there are human nudes present in an image. The system marks skin-like pixels using combined color and texture properties. These skin regions are then fed to a specialized grouper, which attempts to …"
161,"MM Fleck","Some defects in finite-difference edge finders",1992,"IEEE Transactions on Pattern Analysis & Machine …","computer.org","https://www.computer.org/csdl/trans/tp/1992/03/i0337.pdf","https://scholar.google.com/scholar?cites=12313457968841959234&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 02:54:44","","","","",,,,,161,5.75,161,1,28,"ABSTRACT< p> This work illustrates and explains various artifacts in the output of five finite difference edge finders, those of JF Canny (1983, 1986), RA Boie et al.(1986) and RA Boie and IJ Cox (1987), and three variations on that of D. Marr and EC Hildreth (1980) …"
128,"DA Forsyth, MM Fleck","Identifying nude pictures",1996,"Proceedings Third IEEE Workshop on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/572010/","https://scholar.google.com/scholar?cites=1117690225055176933&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 02:54:44","","","","",,,,,128,5.33,64,2,24,"This paper demonstrates an automatic system for telling whether there are naked people present in an image. The approach combines color and texture properties to obtain a mask for skin regions, which is shown to be effective for a wide range of shades and colors of skin …"
102,"MG Chung, MM Fleck…","Jigsaw puzzle solver using shape and color",1998,"ICSP'98. 1998 Fourth …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/770751/","https://scholar.google.com/scholar?cites=15283701817856720911&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 02:54:44","","","","",,,,,102,4.64,34,3,22,"The jigsaw puzzle assembly problem is significant in that it can be applied to diverse areas such as repair of broken objects, restoration of archaeological findings, molecular docking problem for drug design, etc. This paper describes a new pictorial jigsaw puzzle solver …"
88,"MM Fleck","Perspective projection: the wrong imaging model",1995,"Department of Computer Science, University of Iowa","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.52.8827&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=13230540565733795838&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 02:54:44","PDF","","","",,,,,88,3.52,88,1,25,"Perspective projection is generally accepted as the ideal model of image formation. Many recent algorithms, and many recent judgements about the relative merits of di erent algorithms, depend on this assumption. However, perspective projection represents only the …"
59,"MM Fleck","Multiple widths yield reliable finite differences",1990,"… Third International Conference on Computer Vision","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/139493/","https://scholar.google.com/scholar?cites=18276543312757675056&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 02:54:44","","","","",,,,,59,1.97,59,1,30,"Many edge finders extract the signs of finite differences of image intensity values. Camera noise renders many of these signs unreliable. Previous algorithms for reducing noise are difficult to analyze, fail to detect faint or closely packed features, or handle restricted classes …"
