Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
5607,"W Gropp, WD Gropp, E Lusk, A Skjellum, ADFEE Lusk","Using MPI: portable parallel programming with the message-passing interface",1999,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=xpBZ0RyRb-oC&oi=fnd&pg=PA1&dq=%22william+gropp%22&ots=uchyo1LG6R&sig=HhzaZ-572sqXpPocSsrB3PmRiOw","https://scholar.google.com/scholar?cites=16190418257674977100&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 21:11:13","BOOK","","","",,,,,5607,267.00,1121,5,21,"The Message Passing Interface (MPI) specification is widely used for solving significant scientific and engineering problems on parallel computers. There exist more than a dozen implementations on computer platforms ranging from IBM SP-2 supercomputers to clusters …"
3941,"M Snir, W Gropp, S Otto, S Huss-Lederman, J Dongarra…","MPI--the Complete Reference: the MPI core",1998,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=x79puJ2YkroC&oi=fnd&pg=PR13&dq=%22william+gropp%22&ots=56ORpoUIG1&sig=nYP3_SWUKWWk8NIcdJVA67ywF3E","https://scholar.google.com/scholar?cites=4670580998788821020&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 21:11:13","BOOK","","","",,,,,3941,179.14,657,6,22,"This volume, the definitive reference manual for the latest version of MPI-1, contains a complete specification of the MPI Standard. Since its release in summer 1994, the Message Passing Interface (MPI) specification has become a standard for message-passing libraries …"
2984,"W Gropp, E Lusk, N Doss, A Skjellum","A high-performance, portable implementation of the MPI message passing interface standard",1996,"Parallel computing","www-public.imtbs-tsp.eu","http://www-public.imtbs-tsp.eu/~gibson/Teaching/Teaching-ReadingMaterial/GroppLDS96.pdf","https://scholar.google.com/scholar?cites=12057140765855931724&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 21:11:13","PDF","","","",,,,,2984,124.33,746,4,24,"Abstract MPI (Message Passing Interface) is a specification for a standard library for message passing that was defined by the MPI Forum, a broadly based group of parallel computer vendors, library writers, and applications specialists. Multiple implementations of …"
2789,"B Smith, P Bjorstad, W Gropp","Domain decomposition: parallel multilevel methods for elliptic partial differential equations",2004,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=dxwRLu1dBioC&oi=fnd&pg=PR9&dq=%22william+gropp%22&ots=xSwJw-w2Cl&sig=ncZC_rDWO8QaL2v0R42af5mWoPY","https://scholar.google.com/scholar?cites=9982044766668117274&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 21:11:13","BOOK","","","",,,,,2789,174.31,930,3,16,"This book presents an easy-to-read discussion of domain decomposition algorithms, their implementation and analysis. The relationship between domain decomposition and multigrid methods is carefully explained at an elementary level, and discussions of the …"
2023,"S Balay, WD Gropp, LC McInnes, BF Smith","Efficient management of parallelism in object-oriented numerical software libraries",1997,"Modern software tools for …","Springer","https://link.springer.com/chapter/10.1007/978-1-4612-1986-6_8","https://scholar.google.com/scholar?cites=15382187525277678671&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 21:11:13","","","","",,,,,2023,87.96,506,4,23,"Parallel numerical software based on the message passing model is enormously complicated. This paper introduces a set of techniques to manage the complexity, while maintaining high efficiency and ease of use. The PETSc 2.0 package uses object-oriented …"
1221,"S Balay, S Abhyankar, MF Adams, J Brown, P Brune…","PETSc web page",2001,"","","","https://scholar.google.com/scholar?cites=307327545160929636&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 21:11:13","CITATION","","","",,,,,1221,64.26,204,6,19,""
780,"W Gropp, R Thakur, E Lusk","Using MPI-2: Advanced features of the message passing interface",1999,"","dl.acm.org","https://dl.acm.org/citation.cfm?id=555150","https://scholar.google.com/scholar?cites=10417227124076488128&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 21:11:13","BOOK","","","",,,,,780,37.14,260,3,21,"The Message Passing Interface (MPI) specification is widely used for solving significant scientific and engineering problems on parallel computers. There exist more than a dozen implementations on computer platforms ranging from IBM SP-2 supercomputers to clusters …"
750,"S Balay, K Buschelman, WD Gropp, D Kaushik…","PETSc web page, 2001",2004,"","","","https://scholar.google.com/scholar?cites=11495593464567755337&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 21:11:13","CITATION","","","",,,,,750,46.88,150,5,16,""
704,"R Thakur, R Rabenseifner…","Optimization of collective communication operations in MPICH",2005,"The International Journal …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1094342005051521?casa_token=96muChSsC4AAAAAA:qr17Ae0Zzr86U_8CwG5ANKTIEPbXCdKlxkUqFSzTiilyW8p3HNlvzBji_uoGGj3ca1BAUYKYJxf7VQ","https://scholar.google.com/scholar?cites=12500246606647733194&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 21:11:13","","","","",,,,,704,46.93,235,3,15,"We describe our work on improving the performance of collective communication operations in MPICH for clusters connected by switched networks. For each collective operation, we use multiple algorithms depending on the message size, with the goal of minimizing latency …"
620,"R Thakur, W Gropp, E Lusk","Data sieving and collective I/O in ROMIO",1999,"Proceedings. Frontiers' 99 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/750599/","https://scholar.google.com/scholar?cites=3369744499732618277&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 21:11:13","","","","",,,,,620,29.52,207,3,21,"The I/O access patterns of parallel programs often consist of accesses to a large number of small, noncontiguous pieces of data. If an application's I/O needs are met by making many small, distinct I/O requests, however, the I/O performance degrades drastically. To avoid this …"
616,"J Dongarra, I Foster, G Fox, W Gropp, K Kennedy…","Sourcebook of parallel computing",2003,"","websrv.cs.fsu.edu","http://websrv.cs.fsu.edu/~mascagni/papers/RCEV2003_3.pdf","https://scholar.google.com/scholar?cites=9783760726897683918&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-04 21:11:13","BOOK","","","",,,,,616,36.24,103,6,17,"Michael Mascagni Monte Carlo methods (MCMs) have been, and continue to be, very popular algorithms for solving a wide variety of problems in science, engineering, and technology. However, they are generally methods of last resort. As Mark Kác, a probability …"
581,"W Gropp, S Huss-Lederman, M Snir","MPI: the complete reference. The MPI-2 extensions",1998,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=uK3nr41r8zMC&oi=fnd&pg=PA1&dq=%22william+gropp%22&ots=9pt1oPrCmz&sig=wczFau2aRhj6L13MdGbBE0tO0k0","https://scholar.google.com/scholar?cites=3233200576168962355&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 21:11:13","BOOK","","","",,,,,581,26.41,194,3,22,"Since its release in summer 1994, the Message Passing Interface (MPI) specification has become a standard for message-passing libraries for parallel computations. There exist more than a dozen implementations on a variety of computing platforms, from the IBM SP-2 …"
449,"R Thakur, W Gropp, E Lusk","On implementing MPI-IO portably and with high performance",1999,"Proceedings of the sixth workshop on I/O in …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/301816.301826","https://scholar.google.com/scholar?cites=5201110147777813134&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-05-04 21:11:13","","","","",,,,,449,21.38,150,3,21,"We discuss the issues involved in implementing MPI-IO portably on multiple machines and file systems and also achieving high performance. One way to implement MPI-IO portably is to implement it on top of the basic Unix I/O functions (open, lseek, read, write, and close) …"
414,"J Slotnick, A Khodadoust, J Alonso, D Darmofal…","CFD vision 2030 study: a path to revolutionary computational aerosciences",2014,"","ntrs.nasa.gov","https://ntrs.nasa.gov/search.jsp?R=20140003093","https://scholar.google.com/scholar?cites=6416507262354116973&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-05-04 21:11:13","","","","",,,,,414,69.00,83,5,6,"This report documents the results of a study to address the long range, strategic planning required by NASA's Revolutionary Computational Aerosciences (RCA) program in the area of computational fluid dynamics (CFD), including future software and hardware requirements …"
409,"W Gropp, E Lusk","User's Guide for mpich, a Portable Implementation of MPI",1996,"","researchgate.net","https://www.researchgate.net/profile/Ewing_Lusk/publication/2807985_User's_Guide_for_mpich_a_Portable_Implementation_of_MPI/links/00463528aa8f280476000000.pdf","https://scholar.google.com/scholar?cites=546375858955200767&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-04 21:11:13","PDF","","","",,,,,409,17.04,205,2,24,"Abstract MPI (Message-Passing Interface) is a standard speci cation for message-passing libraries. MPICH is a portable implementation of the full MPI speci cation for a wide variety of parallel and distributed computing environments. This paper describes how to build and run …"
408,"S Balay, WD Gropp, LC McInnes, BF Smith","PETSc 2.0 users manual",1996,"","mcs.anl.gov","http://ftp.mcs.anl.gov/pub/tech_reports/reports/ANL9511.pdf","https://scholar.google.com/scholar?cites=11901284358197686332&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-05-04 21:11:13","PDF","","","",,,,,408,17.00,102,4,24,"This manual describes the use of PETSc 2.0 for the numerical solution of partial di erential equations and related problems on high-performance computers. The Portable, Extensible Toolkit for Scienti c Computation (PETSc) is a suite of data structures and routines that …"
386,"J Li, W Liao, A Choudhary, R Ross…","Parallel netCDF: A high-performance scientific I/O interface",2003,"SC'03: Proceedings …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1592942/","https://scholar.google.com/scholar?cites=14738931164737453364&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-05-04 21:11:13","","","","",,,,,386,22.71,77,5,17,"Dataset storage, exchange, and access play a critical role in scientific applications. For such purposes netCDF serves as a portable, efficient file format and programming interface, which is popular in numerous scientific application domains. However, the original interface …"
339,"SS Baghsorkhi, M Delahaye, SJ Patel…","An adaptive performance modeling tool for GPU architectures",2010,"Proceedings of the 15th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1693453.1693470","https://scholar.google.com/scholar?cites=14843282561118621433&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-05-04 21:11:13","","","","",,,,,339,33.90,85,4,10,"This paper presents an analytical model to predict the performance of general-purpose applications on a GPU architecture. The model is designed to provide performance information to an auto-tuning compiler and assist it in narrowing down the search to the …"
313,"S Balay, K Buschelman, WD Gropp, D Kaushik…","PETSc home page",2001,"","","","https://scholar.google.com/scholar?cites=8009534961244905424&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-05-04 21:11:13","CITATION","","","",,,,,313,16.47,63,5,19,""
304,"F Cappello, G Al, W Gropp, S Kale, B Kramer…","Toward exascale resilience: 2014 update",2014,"… and Innovations: an …","dl.acm.org","https://dl.acm.org/doi/abs/10.14529/jsfi140101","https://scholar.google.com/scholar?cites=14506467815281971170&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-05-04 21:11:13","HTML","","","",,,,,304,50.67,51,6,6,"Resilience is a major roadblock for HPC executions on future exascale systems. These systems will typically gather millions of CPU cores running up to a billion threads. Projections from current large systems and technology evolution predict errors will happen …"
296,"O Zaki, E Lusk, W Gropp…","Toward scalable performance visualization with Jumpshot",1999,"The International Journal …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/109434209901300310?casa_token=ey2ZNKGn3j4AAAAA:0KfcsJ1OMlklmSFW8PbKUltn6CSLwn-0ZAtE2C7Mqq1wxmF7XJzkfhIJeOp_NNlUd5W-NUYwv9TNww","https://scholar.google.com/scholar?cites=1089980636755065926&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-05-04 21:11:13","","","","",,,,,296,14.10,74,4,21,"Jumpshot is a graphical tool for understanding the performance of parallel programs. It is in the tradition of the upshot tool but contains a number of extensions and enhancements that make it suitable for large-scale parallel computations. Jumpshot takes as input a new, more …"
294,"DE Keyes, WD Gropp","A comparison of domain decomposition techniques for elliptic partial differential equations and their parallel implementation",1987,"SIAM Journal on Scientific and Statistical Computing","SIAM","https://epubs.siam.org/doi/abs/10.1137/0908020","https://scholar.google.com/scholar?cites=7492298141193096818&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-05-04 21:11:13","","","","",,,,,294,8.91,147,2,33,"Several preconditioned conjugate gradient (PCG)-based domain decomposition techniques for self-adjoint elliptic partial differential equations in two dimensions are compared against each other and against conventional PCG iterative techniques in serial and parallel …"
279,"R Thakur, WD Gropp","Improving the performance of collective operations in MPICH",2003,"… Parallel Virtual Machine/Message Passing Interface …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-39924-7_38","https://scholar.google.com/scholar?cites=8316027701177248086&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-05-04 21:11:13","","","","",,,,,279,16.41,140,2,17,"We report on our work on improving the performance of collective operations in MPICH on clusters connected by switched networks. For each collective operation, we use multiple algorithms depending on the message size, with the goal of minimizing latency for short …"
271,"DE Keyes, LC McInnes, C Woodward…","Multiphysics simulations: Challenges and opportunities",2013,"… Journal of High …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1094342012468181","https://scholar.google.com/scholar?cites=5625879063498616706&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-05-04 21:11:13","","","","",,,,,271,38.71,68,4,7,"We consider multiphysics applications from algorithmic and architectural perspectives, where “algorithmic” includes both mathematical analysis and computational complexity, and “architectural” includes both software and hardware environments. Many diverse …"
268,"W Gropp, E Lusk","Reproducible measurements of MPI performance characteristics",1999,"European Parallel Virtual Machine/Message Passing …","Springer","https://link.springer.com/chapter/10.1007/3-540-48158-3_2","https://scholar.google.com/scholar?cites=6923319803672042819&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-05-04 21:11:13","","","","",,,,,268,12.76,134,2,21,"In this paper we describe the difficulties inherent in making accurate, reproducible measurements of message-passing performance. We describe some of the mistakes often made in attempting such measurements and the consequences of such mistakes. We …"
251,"W Gropp","MPICH2: A new start for MPI implementations",2002,"European Parallel Virtual Machine/Message Passing …","Springer","https://link.springer.com/chapter/10.1007/3-540-45825-5_5","https://scholar.google.com/scholar?cites=11897956113016260996&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-05-04 21:11:13","","","","",,,,,251,13.94,251,1,18,"This talk will describe MPICH2, an all-new implementation of MPI designed to support both MPI-1 and MPI-2 and to enable further research into MPI implementation technology. To achieve high-performance and scalability and to encourage experimentation, the design of …"
232,"W Gropp, E Lusk","Fault tolerance in message passing interface programs",2004,"The International Journal of High …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1094342004046045?casa_token=AjvKga7t5PEAAAAA:bVFyh3ozY97sgDLcTZ5kFk6u0E6jA3GPtWmvs7Uy218DBO3lHPhWQ9Yz9MclQ5vyIiJONwRmfX1NVg","https://scholar.google.com/scholar?cites=13550743514065771525&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-05-04 21:11:13","","","","",,,,,232,14.50,116,2,16,"In this paper we examine the topic of writing fault-tolerant Message Passing Interface (MPI) applications. We discuss the meaning of fault tolerance in general and what the MPI Standard has to say about it. We survey several approaches to this problem, namely …"
