Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
632,"PD Adamczyk, BP Bailey","If not now, when? The effects of interruption at different moments within task execution",2004,Proceedings of the SIGCHI conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/985692.985727,"https://scholar.google.com/scholar?cites=6030478360968811083&as_sdt=2005&sciodt=0,5&hl=en",1,632,39.5,316,2,16,"User attention is a scarce resource, and users are susceptible to interruption overload. Systems do not reason about the effects of interrupting a user during a task sequence. In this study, we measure effects of interrupting a user at different moments within task execution in …"
572,"BP Bailey, JA Konstan","On the need for attention-aware systems: Measuring effects of interruption on task performance, error rate, and affective state",2006,Computers in human behavior,Elsevier,https://www.sciencedirect.com/science/article/pii/S074756320500107X,"https://scholar.google.com/scholar?cites=12537790753534975652&as_sdt=2005&sciodt=0,5&hl=en",2,572,40.86,286,2,14,"This paper reports results from a controlled experiment (N= 50) measuring effects of interruption on task completion time, error rate, annoyance, and anxiety. The experiment used a sample of primary and peripheral tasks representative of those often performed by …"
541,"MR Adams, A Nakagomi, A Keech, J Robinson…",Carotid intima-media thickness is only weakly correlated with the extent and severity of coronary artery disease,1995,Circulation,Am Heart Assoc,https://www.ahajournals.org/doi/abs/10.1161/01.cir.92.8.2127,"https://scholar.google.com/scholar?cites=8253064671651122321&as_sdt=2005&sciodt=0,5&hl=en",3,541,21.64,108,5,25,"Background Intima-media thickness (IMT) of the common carotid artery (CCA), measured with external vascular ultrasound, has been widely used in clinical trials as a surrogate marker for coronary atherosclerosis. Despite this, the degree of correlation between carotid …"
373,"BP Bailey, JA Konstan, JV Carlis","The Effects of Interruptions on Task Performance, Annoyance, and Anxiety in the User Interface.",2001,Interact,cse.unr.edu,https://www.cse.unr.edu/~sushil/class/ps/papers/EffectInterruptions-interact-2001.pdf,"https://scholar.google.com/scholar?cites=7569300105310450121&as_sdt=2005&sciodt=0,5&hl=en",4,373,19.63,124,3,19,"When an automating application needs a user's input or has feedback or other information for that user, it typically engages the user immediately, interrupting the user's current task. To empirically validate why unnecessarily interrupting a user's task should be avoided, we …"
319,"BP Bailey, ST Iqbal",Understanding changes in mental workload during execution of goal-directed tasks and its application for interruption management,2008,ACM Transactions on Computer-Human Interaction …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1314683.1314689,"https://scholar.google.com/scholar?cites=13520909636255644102&as_sdt=2005&sciodt=0,5&hl=en",5,319,26.58,160,2,12,"Notifications can have reduced interruption cost if delivered at moments of lower mental workload during task execution. Cognitive theorists have speculated that these moments occur at subtask boundaries. In this article, we empirically test this speculation by examining …"
310,"ST Iqbal, XS Zheng, BP Bailey",Task-evoked pupillary response to mental workload in human-computer interaction,2004,CHI'04 extended abstracts on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/985921.986094,"https://scholar.google.com/scholar?cites=4020516631575881285&as_sdt=2005&sciodt=0,5&hl=en",6,310,19.38,103,3,16,Accurate assessment of a user's mental workload will be critical for developing systems that manage user attention (interruptions) in the user interface. Empirical evidence suggests that an interruption is much less disruptive when it occurs during a period of lower mental …
242,"ST Iqbal, PD Adamczyk, XS Zheng…",Towards an index of opportunity: understanding changes in mental workload during task execution,2005,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1054972.1055016,"https://scholar.google.com/scholar?cites=5601035442684266080&as_sdt=2005&sciodt=0,5&hl=en",7,242,16.13,61,4,15,"To contribute to systems that reason about human attention, our work empirically demonstrates how a user's mental workload changes during task execution. We conducted a study where users performed interactive, hierarchical tasks while mental workload was …"
200,"SR Herring, CC Chang, J Krantzler…",Getting inspired! Understanding how and why examples are used in creative design practice,2009,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1518701.1518717,"https://scholar.google.com/scholar?cites=3061132593038156763&as_sdt=2005&sciodt=0,5&hl=en",9,200,18.18,50,4,11,"The use of examples serves a critical role in creative design practice, but details of this process remain an enigma. This is problematic for both the understanding of design activity as well as for developing more effective design tools. In this paper, we report results of a …"
199,"A Xu, X Yang, H Rao, WT Fu, SW Huang…",Show me the money! An analysis of project updates during crowdfunding campaigns,2014,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2556288.2557045,"https://scholar.google.com/scholar?cites=10579049474755029450&as_sdt=2005&sciodt=0,5&hl=en",8,199,33.17,33,6,6,"Hundreds of thousands of crowdfunding campaigns have been launched, but more than half of them have failed. To better understand the factors affecting campaign outcomes, this paper targets the content and usage patterns of project updates--communications intended …"
189,"ST Iqbal, BP Bailey",Effects of intelligent notification management on users and their tasks,2008,Proceedings of the SIGCHI Conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1357054.1357070,"https://scholar.google.com/scholar?cites=17520254173314842226&as_sdt=2005&sciodt=0,5&hl=en",10,189,15.75,95,2,12,We present a novel system for notification management and report results from two studies testing its performance and impact. The system uses statistical models to realize defer-to-breakpoint policies for managing notifications. The first study tested how well the models …
