Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
4118,"NA Rizvi, MD Hellmann, A Snyder, P Kvistborg…","Mutational landscape determines sensitivity to PD-1 blockade in non–small cell lung cancer",2015,"…","science.sciencemag.org","https://science.sciencemag.org/content/348/6230/124.short?casa_token=Of-ySzi9e7gAAAAA:9HhhHICCcbQ-0OkWNwDGS9xErEFSNJPTG9VH1_l19CXNA8PpZD4cgDG7Q3WS8Fcm28OI60gq9Ie06ek","https://scholar.google.com/scholar?cites=6616874989748115658&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 20:34:02","","","","",,,,,4118,823.60,824,5,5,"Immune checkpoint inhibitors, which unleash a patient's own T cells to kill tumors, are revolutionizing cancer treatment. To unravel the genomic determinants of response to this therapy, we used whole-exome sequencing of non–small cell lung cancers treated with …"
2617,"A Snyder, V Makarov, T Merghoub…","Genetic basis for clinical response to CTLA-4 blockade in melanoma",2014,"… England Journal of …","Mass Medical Soc","https://www.nejm.org/doi/pdf/10.1056/NEJMoa1406498","https://scholar.google.com/scholar?cites=8990019583775483347&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 20:34:02","HTML","","","",,,,,2617,436.17,654,4,6,"Background Immune checkpoint inhibitors are effective cancer treatments, but molecular determinants of clinical benefit are unknown. Ipilimumab and tremelimumab are antibodies against cytotoxic T-lymphocyte antigen 4 (CTLA-4). Anti–CTLA-4 treatment prolongs overall …"
1873,"Q Wang, TR Chan, R Hilgraf, VV Fokin…","Bioconjugation by copper (I)-catalyzed azide-alkyne [3+ 2] cycloaddition",2003,"Journal of the …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ja021381e","https://scholar.google.com/scholar?cites=2614780572361767739&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 20:34:02","","","","",,,,,1873,110.18,375,5,17,"The copper-catalyzed cycloaddition reaction between azides and alkynes functions efficiently in aqueous solution in the presence of a tris (triazolyl) amine ligand. The process has been employed to make rapid and reliable covalent connections to micromolar …"
1717,"TR Chan, R Hilgraf, KB Sharpless, VV Fokin","Polytriazoles as copper (I)-stabilizing ligands in catalysis",2004,"Organic letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/ol0493094","https://scholar.google.com/scholar?cites=4290503026709665059&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 20:34:02","","","","",,,,,1717,107.31,429,4,16,"Polytriazolylamines were synthesized by the copper (I)-catalyzed ligation of azides and alkynes. The C 3-symmetric derivative, TBTA, was shown to be a powerful stabilizing ligand for copper (I), protecting it from oxidation and disproportionation, while enhancing its …"
1396,"S Turcan, D Rohle, A Goenka, LA Walsh, F Fang…","IDH1 mutation is sufficient to establish the glioma hypermethylator phenotype",2012,"Nature","nature.com","https://www.nature.com/articles/nature10866?message-global=remove&page=13","https://scholar.google.com/scholar?cites=6840205295695778844&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-04 20:34:02","","","","",,,,,1396,174.50,233,6,8,"Both genome-wide genetic and epigenetic alterations are fundamentally important for the development of cancers, but the interdependence of these aberrations is poorly understood. Glioblastomas and other cancers with the CpG island methylator phenotype (CIMP) …"
1387,"TC He, TA Chan, B Vogelstein, KW Kinzler","PPARδ is an APC-regulated target of nonsteroidal anti-inflammatory drugs",1999,"Cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S0092867400816645","https://scholar.google.com/scholar?cites=9767653464019788473&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 20:34:02","HTML","","","",,,,,1387,66.05,347,4,21,"PPARδ was identified as a target of APC through the analysis of global gene expression profiles in human colorectal cancer (CRC) cells. PPARδ expression was elevated in CRCs and repressed by APC in CRC cells. This repression was mediated by β-catenin/Tcf-4 …"
1347,"C Lu, PS Ward, GS Kapoor, D Rohle, S Turcan…","IDH mutation impairs histone demethylation and results in a block to cell differentiation",2012,"Nature","nature.com","https://www.nature.com/articles/nature10860/","https://scholar.google.com/scholar?cites=11259696266874730633&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-04 20:34:02","","","","",,,,,1347,168.38,225,6,8,"Recurrent mutations in isocitrate dehydrogenase 1 (IDH1) and IDH2 have been identified in gliomas, acute myeloid leukaemias (AML) and chondrosarcomas, and share a novel enzymatic property of producing 2-hydroxyglutarate (2HG) from α-ketoglutarate 1, 2, 3, 4, 5 …"
1332,"N McGranahan, AJS Furness, R Rosenthal…","Clonal neoantigens elicit T cell immunoreactivity and sensitivity to immune checkpoint blockade",2016,"…","science.sciencemag.org","https://science.sciencemag.org/content/351/6280/1463.short?casa_token=G6S5CbPCbtUAAAAA:ZQjIIUHi4UFbQAdN1uFu5GI77DMsV46TeJGUvMkC1id0SAe09rti4_uvvJgtasa3snOF5GxwEhyta5k","https://scholar.google.com/scholar?cites=3028432836176374393&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-04 20:34:02","","","","",,,,,1332,333.00,333,4,4,"As tumors grow, they acquire mutations, some of which create neoantigens that influence the response of patients to immune checkpoint inhibitors. We explored the impact of neoantigen intratumor heterogeneity (ITH) on antitumor immunity. Through integrated …"
1128,"N Agrawal, R Akbani, BA Aksoy, A Ally, H Arachchi…","Integrated genomic characterization of papillary thyroid carcinoma",2014,"Cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S0092867414012380","https://scholar.google.com/scholar?cites=1300577726801350223&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-04 20:34:02","HTML","","","",,,,,1128,188.00,188,6,6,"Papillary thyroid carcinoma (PTC) is the most common type of thyroid cancer. Here, we describe the genomic landscape of 496 PTCs. We observed a low frequency of somatic alterations (relative to other carcinomas) and extended the set of known PTC driver …"
1124,"TA Chan, H Hermeking, C Lengauer, KW Kinzler…","14-3-3σ is required to prevent mitotic catastrophe after DNA damage",1999,"Nature","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/44188&casa_token=ff69YfFX0a4AAAAA:GA_hAKxGIYbE2VOanLfbYTsEBPFTYMSy5qgt04Uvi0-mnRZog2MaTPZy29jV676PYsPOe8EghhG9fHaXdA","https://scholar.google.com/scholar?cites=6046153287613310880&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-04 20:34:02","HTML","","","",,,,,1124,53.52,225,5,21,"3-3σ is a member of a family of proteins that regulate cellular activity by binding and sequestering phosphorylated proteins. It has been suggested that 14-3-3σ promotes pre-mitotic cell-cycle arrest following DNA damage, and that its expression can be controlled by …"
873,"D Rohle, J Popovici-Muller, N Palaskas…","An inhibitor of mutant IDH1 delays growth and promotes differentiation of glioma cells",2013,"…","science.sciencemag.org","https://science.sciencemag.org/content/340/6132/626.short?casa_token=ZDFgXnVs6fYAAAAA:HB4qdfN3OXgbugezKHk4p7E1p94nPBwUhv9RZymQRLvFjI0GsL6aodHyspFN7a2vbLmrGPBOc5x3dQg","https://scholar.google.com/scholar?cites=428823458979420310&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-04 20:34:02","","","","",,,,,873,124.71,218,4,7,"The recent discovery of mutations in metabolic enzymes has rekindled interest in harnessing the altered metabolism of cancer cells for cancer therapy. One potential drug target is isocitrate dehydrogenase 1 (IDH1), which is mutated in multiple human cancers. Here, we …"
750,"H Buss, TP Chan, KB Sluis, NM Domigan…","Protein carbonyl measurement by a sensitive ELISA method",1997,"Free Radical Biology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0891584997001044","https://scholar.google.com/scholar?cites=9986840882622730730&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 20:34:02","","","","",,,,,750,32.61,150,5,23,"We describe a new immunoassay for measuring protein carbonyls as an index of oxidative injury. Protein samples were reacted with dinitrophenylhydrazine then adsorbed to wells of an ELISA plate before probing with a commercial antibody raised against protein …"
741,"TA Chan, PJ Morin, B Vogelstein…","Mechanisms underlying nonsteroidal antiinflammatory drug-mediated apoptosis",1998,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/95/2/681.short","https://scholar.google.com/scholar?cites=6574697547514006640&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-05-04 20:34:02","","","","",,,,,741,33.68,185,4,22,"Nonsteroidal antiinflammatory drugs (NSAIDs) can inhibit colorectal tumorigenesis and are among the few agents known to be useful for the chemoprevention of neoplasia. Here, we show that the tumor suppressive effects of NSAIDs are not likely to be related to a reduction …"
671,"KB Chiappinelli, PL Strissel, A Desrichard, H Li…","Inhibiting DNA methylation causes an interferon response in cancer via dsRNA including endogenous retroviruses",2015,"Cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S009286741500848X","https://scholar.google.com/scholar?cites=16262604282246078791&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-05-04 20:34:02","HTML","","","",,,,,671,134.20,134,5,5,"We show that DNA methyltransferase inhibitors (DNMTis) upregulate immune signaling in cancer through the viral defense pathway. In ovarian cancer (OC), DNMTis trigger cytosolic sensing of double-stranded RNA (dsRNA) causing a type I interferon response and …"
599,"G Iyer, AJ Hanrahan, MI Milowsky, H Al-Ahmadie…","Genome sequencing identifies a basis for everolimus sensitivity",2012,"…","science.sciencemag.org","https://science.sciencemag.org/content/338/6104/221.short?casa_token=_znaXHf4IIMAAAAA:tZ9n4Yv8Vj2FiVK21yeuscKqS23O-bjYjdPuopbWMJmULCMtHWtd3LXXGzTEtnAytVa_JlTdboWiog0","https://scholar.google.com/scholar?cites=994678311419969745&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-04 20:34:02","","","","",,,,,599,74.88,120,5,8,"Cancer drugs often induce dramatic responses in a small minority of patients. We used whole-genome sequencing to investigate the genetic basis of a durable remission of metastatic bladder cancer in a patient treated with everolimus, a drug that inhibits the mTOR …"
