Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
189,"E Solomonik, J Demmel",Communication-optimal parallel 2.5 D matrix multiplication and LU factorization algorithms,2011,European Conference on Parallel Processing,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23397-5_10,"https://scholar.google.com/scholar?cites=6050143116640736409&as_sdt=2005&sciodt=0,5&hl=en",1,189,21,95,2,9,"Extra memory allows parallel matrix multiplication to be done with asymptotically less communication than Cannon's algorithm and be faster in practice.“3D” algorithms arrange the p processors in a 3D array, and store redundant copies of the matrices on each of p 1/3 …"
100,"E Solomonik, D Matthews, JR Hammond…",A massively parallel tensor contraction framework for coupled-cluster computations,2014,Journal of Parallel and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S074373151400104X,"https://scholar.google.com/scholar?cites=13200632151891899881&as_sdt=2005&sciodt=0,5&hl=en",2,100,16.67,25,4,6,"Precise calculation of molecular electronic wavefunctions by methods such as coupled-cluster requires the computation of tensor contractions, the cost of which has polynomial computational scaling with respect to the system and basis set sizes. Each contraction may …"
82,"E Solomonik, D Matthews, J Hammond…",Cyclops tensor framework: Reducing communication and eliminating load imbalance in massively parallel contractions,2013,2013 IEEE 27th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6569864/,"https://scholar.google.com/scholar?cites=3618973911175988280&as_sdt=2005&sciodt=0,5&hl=en",3,82,11.71,21,4,7,Cyclops (cyclic-operations) Tensor Framework (CTF) 1 is a distributed library for tensor contractions. CTF aims to scale high-dimensional tensor contractions such as those required in the Coupled Cluster (CC) electronic structure method to massively-parallel …
80,"E Pednault, JA Gunnels, G Nannicini, L Horesh…",Breaking the 49-qubit barrier in the simulation of quantum circuits,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1710.05867,"https://scholar.google.com/scholar?cites=790053889135399773&as_sdt=2005&sciodt=0,5&hl=en",4,80,26.67,16,5,3,"With the current rate of progress in quantum computing technologies, systems with more than 50 qubits will soon become reality. Computing ideal quantum state amplitudes for devices of such and larger sizes is a fundamental step to assess their fidelity, but memory …"
76,"E Solomonik, LV Kale",Highly scalable parallel sorting,2010,2010 IEEE International Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5470406/,"https://scholar.google.com/scholar?cites=3092846565808870720&as_sdt=2005&sciodt=0,5&hl=en",5,76,7.6,38,2,10,"Sorting is a commonly used process with a wide breadth of applications in the high performance computing field. Early research in parallel processing has provided us with comprehensive analysis and theory for parallel sorting algorithms. However, modern …"
63,"E Solomonik, A Bhatele…",Improving communication performance in dense linear algebra via topology aware collectives,2011,SC'11: Proceedings of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6114461/,"https://scholar.google.com/scholar?cites=10585143350753942473&as_sdt=2005&sciodt=0,5&hl=en",6,63,7,21,3,9,"Recent results have shown that topology aware mapping reduces network contention in communication-intensive kernels on massively parallel machines. We demonstrate that on mesh interconnects, topology aware mapping also allows for the utilization of highly-efficient …"
50,"M Besta, M Podstawski, L Groner, E Solomonik…",To push or to pull: On reducing communication and synchronization in graph computations,2017,Proceedings of the 26th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3078597.3078616,"https://scholar.google.com/scholar?cites=456745842858686239&as_sdt=2005&sciodt=0,5&hl=en",7,50,16.67,10,5,3,We reduce the cost of communication and synchronization in graph processing by analyzing the fastest way to process graphs: pushing the updates to a shared state or pulling the updates to a private state. We investigate the applicability of this push-pull dichotomy to …
46,"E Solomonik, A Buluc, J Demmel",Minimizing communication in all-pairs shortest paths,2013,2013 IEEE 27th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6569841/,"https://scholar.google.com/scholar?cites=6340941101943881103&as_sdt=2005&sciodt=0,5&hl=en",8,46,6.57,15,3,7,We consider distributed memory algorithms for the all-pairs shortest paths (APSP) problem. Scaling the APSP problem to high concurrencies requires both minimizing inter-processor communication as well as maximizing temporal data locality. The 2.5 D APSP algorithm …
35,"M Driscoll, E Georganas…",A communication-optimal n-body algorithm for direct interactions,2013,2013 IEEE 27th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6569886/,"https://scholar.google.com/scholar?cites=3957130313823749087&as_sdt=2005&sciodt=0,5&hl=en",9,35,5,12,3,7,"We consider the problem of communication avoidance in computing interactions between a set of particles in scenarios with and without a cutoff radius for interaction. Our strategy, which we show to be optimal in communication, divides the work in the iteration space rather …"
34,"G Ballard, J Demmel, L Grigori…",Reconstructing Householder vectors from tall-skinny QR,2014,2014 IEEE 28th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6877344/,"https://scholar.google.com/scholar?cites=3092067103439256547&as_sdt=2005&sciodt=0,5&hl=en",10,34,5.67,9,4,6,"The Tall-Skinny QR (TSQR) algorithm is more communication efficient than the standard Householder algorithm for QR decomposition of matrices with many more rows than columns. However, TSQR produces a different representation of the orthogonal factor and …"
