Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1607,"E Gilbert, K Karahalios",Predicting tie strength with social media,2009,Proceedings of the SIGCHI conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1518701.1518736,"https://scholar.google.com/scholar?cites=9124886085667583617&as_sdt=2005&sciodt=0,5&hl=en",1,1607,146.09,804,2,11,"Social media treats all users the same: trusted friend or total stranger, with little or nothing in between. In reality, relationships fall everywhere along this spectrum, a topic social science has investigated for decades under the theme of tie strength. Our work bridges this gap …"
496,"J Donath, K Karahalios, F Viegas",Visualizing conversation,1999,Journal of computer …,academic.oup.com,https://academic.oup.com/jcmc/article-abstract/4/4/JCMC442/4584411,"https://scholar.google.com/scholar?cites=5517687147636048670&as_sdt=2005&sciodt=0,5&hl=en",2,496,23.62,165,3,21,"Although the archive of text generated by a persistent conversation (ie newsgroup, mailing list, recorded chat, etc.) is searchable, it is not very expressive of the underlying social patterns. In this paper we will discuss the design of graphical interfaces that reveal the social …"
321,"E Gilbert, K Karahalios",Widespread worry and the stock market,2010,Fourth International AAAI Conference on Weblogs …,aaai.org,https://www.aaai.org/ocs/index.php/ICWSM/ICWSM10/paper/viewPaper/1513,"https://scholar.google.com/scholar?cites=12118543153282718086&as_sdt=2005&sciodt=0,5&hl=en",3,321,32.1,161,2,10,"Our emotional state influences our choices. Research on how it happens usually comes from the lab. We know relatively little about how real world emotions affect real world settings, like financial markets. Here, we demonstrate that estimating emotions from weblogs …"
300,"M Eslami, A Rickman, K Vaccaro, A Aleyasen…",""" I always assumed that I wasn't really that close to [her]"" Reasoning about Invisible Algorithms in News Feeds",2015,Proceedings of the 33rd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2702123.2702556,"https://scholar.google.com/scholar?cites=13901238607548495960&as_sdt=2005&sciodt=0,5&hl=en",4,300,60,60,5,5,"Our daily digital life is full of algorithmically selected content such as social media feeds, recommendations and personalized search results. These algorithms have great power to shape users' experiences, yet users are often unaware of their presence. Whether it is useful …"
254,"C Sandvig, K Hamilton…",Auditing algorithms: Research methods for detecting discrimination on internet platforms,2014,Data and …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/b722/7cbd34766655dea10d0437ab10df3a127396.pdf,"https://scholar.google.com/scholar?cites=12982348633531258420&as_sdt=2005&sciodt=0,5&hl=en",5,254,42.33,85,3,6,"We take the perspective that virtually any algorithm may deserve scrutiny. In the popular mind, algorithms like the Google search engine algorithm exist in order to satisfy their users, and so Crandall's pessimistic perspective that all algorithms are probably rigged might seem …"
163,"E Gilbert, K Karahalios, C Sandvig",The network in the garden: an empirical analysis of social media in rural life,2008,Proceedings of the SIGCHI …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1357054.1357304,"https://scholar.google.com/scholar?cites=12175019467615262540&as_sdt=2005&sciodt=0,5&hl=en",6,163,13.58,54,3,12,"History repeatedly demonstrates that rural communities have unique technological needs. Yet, we know little about how rural communities use modern technologies, so we lack knowledge on how to design for them. To address this gap, our empirical paper investigates …"
150,"E Gilbert, T Bergstrom…",Blogs are echo chambers: Blogs are echo chambers,2009,2009 42nd Hawaii …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4755503/,"https://scholar.google.com/scholar?cites=8150656318104222149&as_sdt=2005&sciodt=0,5&hl=en",7,150,13.64,50,3,11,"In the last decade, blogs have exploded in number, popularity and scope. However, many commentators and researchers speculate that blogs isolate readers in echo chambers, cutting them off from dissenting opinions. Our empirical paper tests this hypothesis. Using a …"
133,"T Bergstrom, K Karahalios",Conversation Clock: Visualizing audio patterns in co-located groups,2007,2007 40th Annual Hawaii …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4076529/,"https://scholar.google.com/scholar?cites=16980225896683734384&as_sdt=2005&sciodt=0,5&hl=en",8,133,10.23,67,2,13,"Aural conversation is ephemeral by nature. The interaction history of conversation fades as the present moment demands the attention of participants. In this paper, we explore the nature of group interaction by augmenting aural conversation with a persistent visualization …"
114,"J Hagedorn, J Hailpern, KG Karahalios",VCode and VData: illustrating a new framework for supporting the video annotation workflow,2008,Proceedings of the working …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1385569.1385622,"https://scholar.google.com/scholar?cites=5654694686897390947&as_sdt=2005&sciodt=0,5&hl=en",9,114,9.5,38,3,12,"Digital tools for annotation of video have the promise to provide immense value to researchers in disciplines ranging from psychology to ethnography to computer science. With traditional methods for annotation being cumbersome, time-consuming, and frustrating …"
112,"Q Wang, W Shin, X Liu, Z Zeng, C Oh…",I-Living: An open system architecture for assisted living,2006,"… on Systems, Man …",ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4274570/,"https://scholar.google.com/scholar?cites=8128049579211263522&as_sdt=2005&sciodt=0,5&hl=en",10,112,8,19,6,14,"Advances in networking, sensors, and embedded devices have made it feasible to monitor and provide medical and other assistance to people in their homes. Aging populations will benefit from reduced costs and improved healthcare through assisted living based on these …"
107,"M Eslami, K Karahalios, C Sandvig, K Vaccaro…","First I"" like"" it, then I hide it: Folk Theories of Social Feeds",2016,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2858036.2858494,"https://scholar.google.com/scholar?cites=5616182540652639460&as_sdt=2005&sciodt=0,5&hl=en",11,107,26.75,21,5,4,"Many online platforms use curation algorithms that are opaque to the user. Recent work suggests that discovering a filtering algorithm's existence in a curated feed influences user experience, but it remains unclear how users reason about the operation of these …"
103,"T Dong, M Dontcheva, D Joseph, K Karahalios…",Discovery-based games for learning software,2012,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2207676.2208358,"https://scholar.google.com/scholar?cites=18179472437826510105&as_sdt=2005&sciodt=0,5&hl=en",12,103,12.88,21,5,8,"We propose using discovery-based learning games to teach people how to use complex software. Specifically, we developed Jigsaw, a learning game that asks players to solve virtual jigsaw puzzles using tools in Adobe Photoshop. We conducted an eleven-person lab …"
97,"K Karahalios, J Donath",Telemurals: linking remote spaces with social catalysts,2004,Proceedings of the SIGCHI conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/985692.985770,"https://scholar.google.com/scholar?cites=16689569848100064317&as_sdt=2005&sciodt=0,5&hl=en",13,97,6.06,49,2,16,Telemurals is an abstract audio-video installation that seeks to initiate and sustain interaction between and within two remote spaces. Our goal is to improve the social aspects of casual mediated communications by incorporating events into the design of the …
88,"K Hamilton, K Karahalios, C Sandvig…",A path to understanding the effects of algorithm awareness,2014,CHI'14 Extended Abstracts …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2559206.2578883,"https://scholar.google.com/scholar?cites=5783844392669401040&as_sdt=2005&sciodt=0,5&hl=en",14,88,14.67,22,4,6,"The rise in prevalence of algorithmically curated feeds in online news and social media sites raises a new question for designers, critics, and scholars of media: how aware are users of the role of algorithms and filters in their news sources? This paper situates this problem …"
85,"E Gilbert, K Karahalios…",The network in the garden: Designing social media for rural life,2010,American Behavioral …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0002764210361690?casa_token=BcYx0bTRqPwAAAAA:KIRnZfCgo-lb7zlnEbmXdh3--f05e7OC3LltoPB3aywRDQkdtyEwRE-oXQSLONkRfsdUME7z2rQ1Uw,"https://scholar.google.com/scholar?cites=6958628204447984439&as_sdt=2005&sciodt=0,5&hl=en",15,85,8.5,28,3,10,"History repeatedly demonstrates that rural communities have unique technological needs. Yet little is known about how rural communities use modern technologies, which therefore results in a collective lack knowledge about how to design for rural life. To address this gap …"
74,"E Gilbert, K Karahalios",Understanding deja reviewers,2010,Proceedings of the 2010 ACM conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1718918.1718961,"https://scholar.google.com/scholar?cites=17171745768787940647&as_sdt=2005&sciodt=0,5&hl=en",16,74,7.4,37,2,10,"People who review products on the web invest considerable time and energy in what they write. So why would someone write a review that restates earlier reviews? Our work looks to answer this question. In this paper, we present a mixed-method study of deja reviewers …"
73,"J Kulshrestha, M Eslami, J Messias, MB Zafar…",Quantifying search bias: Investigating sources of bias for political searches in social media,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2998181.2998321,"https://scholar.google.com/scholar?cites=9996294915341603720&as_sdt=2005&sciodt=0,5&hl=en",17,73,24.33,15,5,3,"Search systems in online social media sites are frequently used to find information about ongoing events and people. For topics with multiple competing perspectives, such as political events or political candidates, bias in the top ranked results significantly shapes …"
73,"T Gao, M Dontcheva, E Adar, Z Liu…",Datatone: Managing ambiguity in natural language interfaces for data visualization,2015,Proceedings of the 28th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2807442.2807478,"https://scholar.google.com/scholar?cites=2597086627085981295&as_sdt=2005&sciodt=0,5&hl=en",18,73,14.6,15,5,5,"Answering questions with data is a difficult and time-consuming process. Visual dashboards and templates make it easy to get started, but asking more sophisticated questions often requires learning a tool designed for expert analysts. Natural language interaction allows …"
